"Field1","Field2","Field3","Field4","Field6"
"Technical Project Manager","HPOne","-","HPOne, named CT Magazine's 2018 Great Places to Work, is looking for a Technical Project Manager to join our team.The ideal candidate for the project manager position will be responsible for the implementation and management of new projects and processes for new and existing external clients as well as internal business units. Manage and coordinate projects and key initiatives from start to finish. Drive enterprise, functional and/or departmental initiatives and ensure project timelines and expectations are met. Ensure projects deliver on established goals for business value creation. Responsible for creating project plans/timelines and documenting all business process, requirements and expectations of the client, work with internal resources to communicate the client's needs and expectations. Work closely with all levels of management throughout the project to ensure all responsible parties and resources understand the scope and deliverables of the project. Present findings and make recommendations to all levels of management.Description of accountabilitiesCoordinate and manage project planning and execution for multiple projectsInterface with counterpart at client or vendor and serve as primary point of contact for HPOneManage key project initiatives including the development of detailed work plans, set deadlines, assign responsibilities, monitor and summarize project progress, and create detailed business requirements that define the business process, requirements and expectations of the clientProvide supervision and leadership for project team membersMonitor work plans and enforce accountability by key stakeholdersPrepare strategic analysis of potential business and operational opportunitiesCommunicate purpose and vision of the project and prepare summary reports and recommendations for managementHold daily/weekly meetings with clients/vendors/internal resources on project initiatives and deliverablesPerform other duties as assignedRequired qualifications for this roleBachelor's degree, or equivalent related industry experience5+ years technical project management experience including managing projects from start to finish, preferably in a healthcare environmentFamiliarity or proficiency in the following areas: Net, Ajax, Analysis, Analyst, ASP, ASP.NET, C#, CSS, Database, Developer, Development, HTML, Javascript, jQuery, Lifecycle, Linux, OOD, Programmer, Project, SQL, SQL Server, UML, Web Developer, Windows, XMLAbility to interpret technical solutions for business process and procedure and be able to effectively communicate it to the client/vendorExperience leading a project team, keeping team focused and discussions moving forward, resolve conflicts with both internal and external audiences as well as invoke a level of confidence and authority to various department leaders and levels of managementAnalytical skills to effectively research solutions, problem solve, define and process business processes, and the ability to make suggestions to business leadersOrganizational skills to include time management, scheduling, coordinating meetings and using time efficiently, as well as managing multiple projects at one timeSuperior oral and written communication skillsKnowledge of email systems such Microsoft Outlook sufficient to communicate and schedule both internal and external contactsKnowledge of MS Word sufficient to create complex documents, which may contain graphics, form fields, sub-headings and indexesKnowledge of MS Excel sufficient to create moderately complex spreadsheets and data gathering analysis tools containing pivot tables, formulas, links and graphsKnowledge of Microsoft Visio and Project sufficient to create moderately complex depictions and project plansLI-VB1Preferred qualifications for this rolePMP license/certificationAbout HPOne:Founded in 2006, HPOne is a leading sales and marketing organization that operates across multiple segments of the Medicare and health insurance marketplaces. Using proprietary technology solutions coupled with deep industry knowledge, the company provides a range of outsourced sales, marketing and contact services for national and regional health plans, operates private exchanges for individual consumers and employer-based group retirees, and manages the largest exclusive Medicare lead generation marketplace in the industry. HPOne's core differentiation is its exclusive focus on the health insurance industry, bringing innovative and performance-based solutions that address the most pressing challenges facing clients. With four state-of-the-art contact centers around the country and a management team with an average of over 15 years in the health insurance industry, HPOne provides its clients with the solutions they need to profitably grow and manage their business. For five consecutive years, HPOne has been named to Deloitte's Technology Fast 500™, a ranking of the 500 fastest growing technology, media, telecommunications, life sciences and energy tech companies in North America, earning a rank of 357 for 2016.HPOne is an Equal Opportunity Employer:Equal Employment Opportunity (EEO) is a fundamental principle at HPOne, where employment is based upon personal capabilities and qualifications. HPOne does not discriminate because of actual or perceived sex, sexual orientation or preference, gender identity, gender, transgender, race, color, religion, national origin, creed, citizenship status, ancestry, age, marital status, pregnancy, childbirth or related medical conditions, medical conditions including genetic characteristics, mental or physical disability, military and veteran status, or any other protected characteristic as established by law. HPOne requires the necessary drug testing and background checks as part of our pre-employment practices.","HPONE - 30+ days ago - save jobreport job - original jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Project Manager","Noetic Strategies Inc.","Huntsville, AL 35801","Technical Project ManagerNoetic is seeking a Technical Project Manager who is self-driven and thrives working in a dynamic environment that promotes collaboration and partnership with internal and external stakeholders. The ideal candidate will have experience with managing technical projects from start to finish with emphasis on software development, Small Business Innovation Research (SBIR), and cyber security projects.Responsibilities and DutiesCoordinate and manage project planning and execution for multiple technology-based projects from initiation to deliveryHold daily/weekly meetings with clients/internal resources on project status and deliverablesDevelop functional/user requirementsOther duties as neededSkill sets:Proficient in project management techniquesUnderstands multiple software development methodologiesExperience leading a project team, keeping team focused and discussion moving forward, and resolving conflictsFamiliarity in the following areas: software languages, UI development, modeling & simulation, and cyber securityExceptional oral and written communication skillsSuperior organization skills to include managing multiple projects at a timeStrong Office 365 skills to include developing clear and informative PowerPoint Presentations, develop complex spreadsheets.Familiarity with Jira or similar Agile tracking toolCertifications: PMP or ACP preferredEducation: BS in technical area such as computer science or engineeringExperience: 2+ years technical project management experienceClearance Requirements: Ability to obtain and maintain a DoD Secret ClearanceJob Type: Full-timeExperience:Project Management: 2 years (Required)Education:Bachelor's (Preferred)Security Clearance Required:Secret (Preferred)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offThis Job Is Ideal for Someone Who Is:Dependable -- more reliable than spontaneousDetail-oriented -- would rather focus on the details of work than the bigger pictureAchievement-oriented -- enjoys taking on challenges, even if they might failAutonomous/Independent -- enjoys working with little direction","- 3 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Sr. Cloud / Software Technical Project Manager","Satellite Healthcare","-","Sr. Software Technical Project ManagerAbout Satellite HealthcareSatellite Healthcare, Inc. has been among the nation's leading not-for-profit providers of kidney dialysis and related services since 1974. Through its affiliated services, Satellite WellBound, Satellite Dialysis, and Satellite Research, Satellite Healthcare provides unparalleled early patient wellness education, personalized clinical services, and a complete range of dialysis therapy choices. In addition, Satellite Healthcare has a well-recognized, enduring commitment to philanthropy and community service, from funding millions of dollars in research grants to sponsoring kidney programs nationwide. Satellite Healthcare is committed to advancing the standard of chronic kidney disease care so patients can enjoy a better life.At Satellite Healthcare (SHC), we work with Purpose at the heart of everything we do. It starts with our Mission to make life better for those with kidney disease and our Vision to be unsurpassed in our individualized experience, our quality, and our compassion. Our core Values round out our Purpose by defining how we choose to show up each day. As a member of the team, you will be invited to discover your own personal purpose at work and ways to activate that purpose to create a more fulfilling work-life for yourself. It is our hope and belief that, as you and your colleagues learn to courageously live and work by your purpose, you will find that it not only lifts your work and career, but the organization and the community of patients as well.About the RoleWe are seeking a purpose-driven team member with a record of accomplishment in planning, leading, overseeing and ensuring the successful execution of complex software projects in an Agile environment within scope, quality, time and cost constraints. T his includes resource management, defining project objectives and overseeing quality control throughout its life cycle.About YouYou will play a vital role to ensure that we deliver on our Mission to make life better for those with kidney disease and our Vision to be unsurpassed in our individualized experience, our quality, and our compassion. You approach your work with an indisputable sense of greater Purpose. You thrive in fast phased, dynamic environments that provide you fulfillment when enhancing the lives of others. Lastly, you are high energy, love a challenge, are goal oriented, and gain deep satisfaction from building lifetime relationships. You will be leading initiatives in next generation Microsoft technologies and will be part of building a world class IT organization.What You Will GainRelationships: You will work directly with a multi-disciplinary team who is just as passionate as you with making a difference in others’ lives. You will also work alongside business and IT leaders as well as doctors and nurses who look to support you in providing compassion that is unsurpassed by others in our industry.Impact: You will be leading projects that will enable our patients to live a better life that meets their needs holistically. You will be building world class EHR applications that will be leveraged by doctors, vendors, nurses and patients.Growth: You will receive many challenges that will enhance your professional skills and capabilities. You will work in an environment where fulfilling one’s aspirations is not necessarily a linear path, but more like a dynamic environment with multiple options for development. You can foresee incremental growth in your career. ESSENTIAL FUNCTIONS: We are seeking a highly skilled, team-oriented individual to be a Sr Software Technical Project Manager Master for high performance, cross-functional autonomous software engineering teams. The successful candidate will be an energizing servant leader, be an enabler and driver and is a self-starter with strong understanding of the Software Development project life cycle. · Agile Scrum Master responsibilities - Writing, decomposing, grooming and estimating Epics, Features, and User Stories Responsible for the successful delivery of Software IT programs and projects - accountable for developing detailed project plans and status reports as well as leading teams of developers and testers Responsible for management of technical project(s) or program teams from initiation through implementation, includes: planning, analysis, design development and implementation Provide overall direction for establishing project requirements, priorities and deadlines Develop and monitor project/program plan(s), and adjust resources and priorities accordingly Prepare and present progress reports for senior management Effectively communicate project expectations to team members and stakeholders in a timely and clear fashion and liaise with project stakeholders on an ongoing basis Work with management and lead team members to develop and maintain the portfolio and roadmap Develop content of status reports from the project team, analyze results and troubleshoot problems Define project success criteria and disseminate them to involved parties throughout project life cycle Develop the business case and project charter to identify the scope, budget, timeframes and ROI Identify and resolve issues and conflicts within the project team Coach, mentor, motivate and supervise project team members and contractors, and influence them to take positive action and accountability for their assigned workREQUIREMENTS:Minimum QualificationsExperience: 10 years of successfully managing complex software engineering development and software engineering projects with demonstrated experience in planning, forecasting, budgeting and executing them. Experience with cross-functional (engineering, finance, legal, operations, infrastructure and human resources) collaboration, reporting, vendor/partner management as well as managing issues and risks is mandatory. Experience working on Microsoft Azure cloud initiatives in an Agile Environment.Education: Bachelor's degree in computer science or related fieldCertifications: Project Management and Scrum certification (PMP + CSM or similar)Knowledge, Skills & Abilities: Strong knowledge of project management methodology and experience with SDLC and Agile Scrum Proficient understanding and experience in working with key technologies and processes including: Microsoft Azure cloud ( Cloud Virtualization Projects) , APIs, micro services, React, Node.JS, Angular, web services, SQL Server database A blend of business, IT and communication skills, as this is a highly visible position Significant knowledge of project planning/scheduling tools with a solid track record of practical application – Plan View highly preferred and Service now a plus Demonstrated experience with forecasting and project success metrics Experience working both independently and in a team-oriented, collaborative environment Ability to conform to constantly shifting priorities, demands and timelines through analytical and problem-solving capabilities Exceptional verbal and written communication skills; expertise in setting and managing customer expectations Demonstrated Resource Management skills and effective influencing and negotiating skills in an environment with contractors, resources administratively reporting to other managers, and third-party vendors Strong knowledge and understanding of business needs, with the ability to establish and maintain a high level of customer trust and confidence Project Management Experience managing multi-faceted Cloud Virtualization Projects. Writing, decomposing, grooming and estimating Epics, Features, and User Stories Demonstrated experience in leading teams as a Scrum Master Hands-on Agile practice and techniques","Satellite Healthcare - 30+ days ago - save jobreport job - original job"
"Technical Project Manager","Q Link Wireless","Hollywood, FL","Technical Project ManagerQ Link Wireless is looking for a Technical Project Manager that will report directly to the CEO and will oversee and manage the company’s digital and technical projects. He/she will be working closely with the CEO, Senior Management, Development team, and other departments to effectively scope and implement the corporate projects. The ideal candidate will have experience with digital marketing and technical project management. This role will suit someone who is flexible, dynamic and experienced in stakeholder management, as the role will require working on a variety of different projects.What you'll do: Lead projects from start to finish using agile techniques that have been adapted to the best practices we have developed to meet our business needsFacilitate the definition of project scope and objectives, involving all relevant stakeholders and ensuring technical feasibilityWork alongside the development team leading sprint planning, daily standups, and other project activities as neededCreate Project Plans, and manage project expectations including but not limited to Gathering Functional and Technical RequirementsDeveloping a financial view of each project in terms of cost and durationPrimary point of contact for all project’s stakeholders, executives, and internal team membersMaintain the tools and documentation required for company’s implementation projectsEnsure proper assignment of staff resources to complete the projects on timeReport and monitor project day to day performance activities using appropriate tools and techniquesSuccessfully manage the relationship with clients, 3rdParty Vendors, and internal team membersCollaborate within the Management team to continuously improve company’s internal solutions and processesStrive to understand the technology systems, ecommerce, and digital industry that company supportsWho you are: The successful candidate will embody and be an advocate of our core values, which are:Results: We deliver results. We produce the tangible business outcomes that matter most to our business and employees. We are driven by an enthusiasm and creativity to meet and exceed our objectives and goals.Exceptional: We create exceptional experiences. We strive to make every presentation, engagement, deliverable, and solution completely memorableEfficient: We provide solutions with rapid and transformative solutions. Channeling our power to drive and embrace change, we continuously innovate and enable businesses to cumulatively meet and exceed objectives and goalsService: We are people centric. Business success and satisfaction comes first, and we employ the most talented and driven people to meet business needs. We have a singular litmus test: will our work refer or provide references for our business and our people? The answer must always be, 'Yes'Requirements: Master’s degree preferredCSM and/or PMP Certifications preferredDigital Marketing and Telecom Experience preferred5+ years' experience as a Senior Project Manager or Program Manager for technical and/or eCommerce projects2+ years' experience as a Project Manager or Consultant with a Consulting / Professional Services companyExperience managing technical projects including website development, design, architecture, mobile apps creation, SEO, SEM, community building, social media, and third-party applicationsExcellent writing skills and ability to capture thoughts and transform them into project documentation based on the business requirements and specificationsExtensive working knowledge and experience with project management tools, Internet based software, and graphics art software such as Adobe and Office 365Extensive working knowledge using Atlassian Suites including but not limited to JIRA and ConfluenceAbility to elicit cooperation from senior management and other functional managers to ensure timely completion of each project within the given timeline and budgetAbility to rapidly adapt and respond to changes in project prioritiesExperience leading teams using agile scrum practicesSolid technical background with understanding and/or hands-on experience in software development, digital marketing, and web technologiesLeadership skills and proven ability to own a project from start to finishSolid organizational skills including attention to detail and multi-taskingInterest in the technology space and willing to stay up to date on new technologies and best practicesAbility to work independently along a fast-paced teamJob Type: Full-time, Onsite Monday to FridaySalary: Based on ExperienceBenefits: Health, Dental, Vision and Life Insurance, and Paid PTOThink you've got what it takes? Then send us your resumeQ Link Wireless is an equal opportunity employer and all employment decisions are made on the basis of valid job qualifications regardless of race, color, faith, sex, age, national origin, ancestry, religion, medical condition, sexual orientation, marital status or disability.Job Type: Full-timeExperience:Technical Project Management: 5 years (Required)Telecommunications: 1 year (Preferred)E-Commerce: 3 years (Required)Project / Program Management: 5 years (Required)Jira: 1 year (Preferred)agile scrum: 1 year (Preferred)Digital Marketing: 1 year (Preferred)Education:Master's (Preferred)License:CSM or PMP (Preferred)Work authorization:United States (Required)Work Location:One locationBenefits:Health insuranceDental insuranceVision insurancePaid time off","- 24 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Project Manager","Ecrebo, Inc","Chicago, IL","Technical Project Manager — Ecrebo, IncJob SummaryWe are actively seeking a talented and experienced Technical Project Manager in our Chicago office to oversee a wide variety of projects from conceptual design through implementation. You will have the chance to network with clients, vendors, and in-house personnel. If you are ready to steer high-level projects to success, we are excited to have you on our team.Job Responsibilities; Manage projects with oversight throughout entire execution to ensure success as defined by adherence to standards of scope, budget, and timeline.; Develop comprehensive project plans that merge customer requirements with company goals and coordinate various managers and technical personnel during all project phases, from initial development through implementation.; Review proposed modifications on project plans, including meeting with interested parties to approve and implement beneficial changes.; Oversee acquisition of resources and materials as needed before and during projects by talking with customers, team members, managers, and in-house accountants and negotiating price and payment agreements with vendors.; Anticipate details of future projects by communicating directly with customers and staying informed of relevant trends and industry news.; Travel up to 50% - travel varies depending on active projects and project stageJob Skills & QualificationsRequired:; Bachelor’s degree in engineering, computer science or related field, or equivalent work experience; Extensive leadership experience and strong teaming abilities; Excellent problem-solving skills; Minimum three years management experience in the IT field, including interactions with customersPreferred:; Experience managing technical projects in the retail space especially in the grocery, mass and drug space; Experience with retail point of sale (i.e. Toshiba, NCR, Retalix)About Ecrebo, Inc.Ecrebo is a UK-based company that works with some of the UK’s largest retailers including M&S, Waitrose and Dixons Carphone. We recently opened a US-based division to bring the technically elegant, cost-effective, high ROI magic of Ecrebo to US retailers of every stripe. Learn more at: https://www.ecrebo.com/en-us/Job Type: Full-time","- 30+ days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Project Manager","Rhode Island Quality Institute","-","Description:This position is responsible for ensuring the timely and effective implementation of technical projects and activities. The Technical Project Manager will be responsible for the implementation of tasks and project deliverables to support the Project Management Office (PMO) at the Rhode Island Quality Institute (RIQI).The Technical Project Manager ensures work is completed on time, on budget, and at the highest level of quality. They will use best-in-class process improvement and efficiency to achieve stakeholder satisfaction.Duties include, but are not limited to:Leading technical projects on time, within scope, and on-budget in conjunction with RIQI internal teams and stakeholder staff.Managing and delivering technical projects for stakeholders.Formulating and executing project plans.Supporting budgeting and contracting associated with projects. Essential DutiesManages phases of projects from project engagement through closure, including transition to support and maintenance teams, as needed.Works with assigned RIQI and stakeholder resources to discover, develop, and document project requirements.Effectively and professionally communicates project expectations, updates, and potential risks to team members, leadership, and stakeholders while providing appropriate resolution and recommendations.Collects, maintains, analyzes, and executes project data and deliverables, including revisions as necessary to meet changing needs and requirements.Aligns with RIQI team to project work to ensure resources are available.Presents at designated and appropriate times throughout the project lifecycle and communicates to management when delays, issues, or risks are discovered.Works with the RIQI Solution Architect or Technical Lead, along with Implementation Partners, as needed, to ensure all tasks are included in the project plan.Facilitates effective and efficient stakeholder or internal team meetings to regularly review status and further project process.Identifies, documents, and manages closure on project action items, tasks, questions, issues, and risks.Tracks and communicates progress of projects to stakeholders.Aligns expectations on assigned projects to ensure they meet stakeholder expectations.Escalates issues requiring leadership involvement and decision-making, following through to get closure.Proactively communicates and negotiates with team on priorities, goals, and targets in pursuit of program plan fulfillment.Ensures projects get to successful completion by finding solutions to project issues, serving as the primary point of contact for identifying project-related resource and schedule concerns.Performs other related duties as assigned and special projects.Requirements:Performs quality work within deadlines with or without direct supervision.Ability to work in a fast-paced dynamic environment and that often requires multi-tasking.Establishes and maintains effective working relationships.Supports and adheres to RIQI’s core values and corporate culture.Represents RIQI in a positive manner to all stakeholders.Performs as a team player.Self-starter, energetic, with a “can-do” attitude.“Metrics” mindset.Minimum QualificationsBachelor’s degree in Technology, Business, Health, or a related field.Two years’ experience in technical project work, specifically in the Health Information Technology field, preferably at a setting that regularly interfaces with an electronic health record, clinical laboratory, or health information exchange.Experience in interface development projects work preferred.A high level of proficiency with the Microsoft Office productivity suite (e.g., Visio, Project, PowerPoint, Excel)Experience with project management software (e.g., Oracle NetSuite)Desired QualificationsDemonstrated track record of managing technical and analytic projects to completion – on-time, on-budget, and with high level of customer satisfaction.Comfortable working with cross-functional teams at all levels of an organization to obtain knowledge that facilitates problem resolution.Ability to proactively identify and resolve issues in a positive manner.Strong data analysis, writing, and oral presentation skills.Comfortable working independently, as well as in a team environment.Self-motivated, well-organized, and detail oriented.Healthcare experience or knowledge of healthcare business preferred (e.g., working with hospitals, physician practices health centers, or managed plans).Conforms to shifting priorities, demands, and timelines through analytical and problem-solving capabilities.Flexibility and ability to plan, prioritize, and execute multiple tasks in a fast-paced environment.Licenses or Specialized KnowledgePMP Certification preferred but not required.Rhode Island Quality Institute is an EEO/AA Employer.","Rhode Island Quality Institute - 30+ days ago - save jobreport job - original job"
"immediate/urgent --Technical Project Manager","Park Computer Systems Inc","San Diego, CA","Candidates local to San Diego, CA, in person interview is mandatory, only W2.About the role and how you will spend your time: · Work with a team of engineers to understand and help drive cross-team technical dependencies, particularly around cloud infrastructure requirements. This will include communicating technical requirements, overseeing progress on open asks, and ensuring delivered work product meets the stated requirements.· Manage large/complex projects, including maintaining the project schedule and execution plan, managing risks and dependencies, managing team deliverables, and communicating status up and down the chain. Regularly prepare materials and present project status, progress reports, and other metric updates to stakeholders.· Anticipate roadblocks, bring up issues and drive resolution across a multi-functional team.· Assist with technical documentation, including procedures, flowcharts, network diagrams, and system workflow diagrams.Qualifications: Essentials: · BS degree in Computer Science or equivalent· Approximately 2-5 years related experience in software or networking industry.· Must have computer science knowledge adequate to understand and communicate interactions among complex computer systems in business terms.· Strong technical writing and documentation skills with a working knowledge of developing procedures, flowcharts, system workflow diagrams, and network diagrams.· Knowledge of and experience in project management concepts, preferably in an Agile environment on enterprise impacting projects.· Demonstrated clear leadership skills and solid experience working with large project teams.· Excellent communication skills with the ability to communicate to technical and non-technical audiences.Additional Desired Attributes: · Experience with eCommerce in a high volume, enterprise environment.· Experience with AWS.· Experience using JIRA, Visio, and Confluence.· Experience using Splunk to view transaction data.Job Type: ContractExperience:flowcharts, jira, confluence: 5 years (Required)Project Management, visio,software or networking industry: 5 years (Required)Location:San Diego, CA (Required)Work authorization:United States (Required)Contract Renewal:Likely","- 13 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Project Manager","AQIWO, Inc.","Washington, DC 20001","In support of the DOL Office of Workers’ Compensation Programs, we are seeking a Technical Project Manager with demonstrated experience managing large and complex IT modernization and migration projects. This position is responsible for executing and managing approved projects from inception through deployment, while monitoring complex work flows and aggressive deadlines.REQUIRED:Bachelor’s degree7+ years’ related experienceTrack record of supporting multiple IT modernization/migration projects simultaneouslyPREFERRED:Master’s Degree or Project Management Professional (PMP) certificationWorking knowledge and/or experience in medical billing work, workers’ compensation, and other related fieldsExperience supporting DevOps projectsDirect or indirect experience with the Center for Medicare and Medicaid Services (CMS)","AQIWO, Inc. - 12 days ago - save jobreport job - original jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Project Manager","Lunarline","-","Title: Technical Project ManagerLocation: On client site in Washington, DCSalary: DOEClearance: ClearableLunarline is looking for a Project Manager to provide project management functions including technical leadership, quality assurance, project scheduling and tracking, and decision oriented recommendations on support areas identified in the SOWSkills and Qualifications:At least 10 relevant years of experience planning, managing, and implementing technical IT Security projects/programs under Government contracts.Education:Bachelor’s Degree in Business/EngineeringCertifications:The following certifications (one or more is required): Project Management Professional (PMP), Portfolio Management Professional (PfMP), Program Management Professional (PgMP) or equivalent project or program management certification.The following certifications (one or more is preferred): Lunarline, Inc. School of Cybersecurity “Certified Expert” certifications.","Lunarline - 11 days ago - save jobreport job - original jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Project Manager","iTrellis","-","Who we areiTrellis is a new kind of technology consulting firm that puts its employees first and is breaking the mold with our approach to custom software development!Through frequent and regular feedback, interesting projects, and mentorship you are given a wealth of opportunities to define your own career path. We encourage our consultants to act autonomously so they can make the right choices for our clients without needing to navigate miles of red tape.About the jobWe’re looking to bring on a Business Analyst with experience working closely with IT teams and has worked in IT or supply chain industry. The primary responsibility will be to present the direction and methodology of multiple projects. You will be running these projects, keeping track of product backlog in ADO, developing strategic road maps, and working closely with our practice manager. Additionally, you'll be responsible to establish and run an effective reporting process for the project sponsors.The ideal candidate is comfortable and familiar with Scaled Agile (SAFe) processes and tools – stand ups, backlog grooming in ADO, and sprint planning, among other things. and should be able to report upwards effectively. Any familiarity with SAP is great. You'll also actively participate in testing solutions from development through production.Your role with usYou will be working closely with senior management and development teams to provide insight and direction on these projects. Our TPMs own the design, development, and maintenance of ongoing reports and analyses within our projects too.Some tools you'll be using are Azure DevOps and Jira, as well as SAP. We'd love to have someone with program/process management experience as well.Things you have done, or knowAround 5+ years as a PM or in a similar roleDefine scope and drive the delivery of features for custom and commercial software solutionsExperience working in an Agile/SAFe environmentEffectively communicate project information to key stakeholders, facilitate communication between teams adhering to an Agile/Scrum frameworkDrive new products and features through the development processFamiliarity with retail and supply chain industriesFamiliarity with SAPTools you have used:Microsoft OfficeTableau, Power BI, etc. for data visualizationAure DevOps, JiraThe benefits:iTrellis provides an outstanding environment to enhance your career and thrive. We offer a very strong benefit package that includes the following:We offer a comprehensive health care plan, with Medical, Dental and Vision coverage. Our company pays 100% of the premiums for you, and 50% for any eligible dependents, and there are low deductibles.We offer a Safe Harbor 401(k) retirement plan to all employees, with 100% company matching on the first 3% of your contributions, and match 50% of your contributions up to 5% of your gross pay. All Company match amounts vest immediately.We provide our employees 120 of PTO with flexible scheduling arrangements. In addition, there are 8 company paid holidays each year.We believe in a continuous learning environment to help guide your career growth. As such, training and education resources relevant to your discipline are made available to our employees.iTrellis is an equal opportunity employer and does not discriminate against any applicants or employees on the base of race, color, religion, sex, sexual orientation, national origin, age, disability or genetics or any other legally protected class.","iTrellis - 3 days ago - save jobreport job - original jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
