"job_title","company","location","description"
"Sr Java Developer","Management Consulting Services","Cincinnati, OH 45201","Position: Sr. Java Developer Location: Cincinnati, OHMode: Full Time Experience in Years: 6 - 8 YearsJob Description:·         Minimum of 7+ years of experience ·         Strong knowledge on J2EE fundamentals with experience in Object Oriented Design and Development and usage of Design Patterns ·         Must have at least 5+ Years hands-on working knowledge of UNIX and Shell Scripts ·         Strong development skills with Maven and ANT ·         An understanding and knowledge of Hibernate,  Web Services, JPA ·         Configuration and troubleshooting experience (4+ years) with Weblogic Application server ·         Working knowledge of Autosys and Autosys Scripts ·         An understanding of Integration knowledge on IBM TAM ·         Working knowledge of and experience with UDB, Sybase, SQL Server and Oracle. ·         Ability to work independently with minimum direction. "
"Senior Account Executive","Other/Not Classified","Jersey City, NJ","Senior Account Executive, Partner Management   -   ( 497121 )     Description   First Data is a global leader in commerce-enabling technology solutions, serving more than six million business locations and 4,000 financial institutions in 118 countries around the world. Our 23,000 owner-associates are dedicated to helping companies, from start-ups to the world’s largest corporations, conduct commerce every day by securing and processing more than 2,300 transactions per second and $1.9 trillion per year. First Data is committed to staying at the forefront of our industry, and we are innovating a wide range of next-generation commerce technology solutions to help our clients better detect fraud, gain insights into consumer spending patterns and build customer loyalty. There are many exciting opportunities for talented individuals who would like to join our team and play a meaningful role in helping us shape the future of global commerce. First Data Global Business Solutions (GBS) provides our millions of business clients around the world, large and small, with a broad range of commerce-enabling solutions to help them more effectively manage, market and grow their businesses. GBS solutions include acquiring, eCommerce, mobile commerce, marketing, analytics, and next-generation commerce innovations, including mobile payment services, webstore-in-a-box solutions and Clover, our cloud-based point-of-sale operating system that includes a marketplace for proprietary and third-party business apps. Position Description Overview Integrated Solutions Strategic Relationship Manager is the lead relationship owner providing strategic and consultative management and driving revenue with our ISV/Middleware and VAR/Dealer partners.. The candidate will have responsibility for client relationship growth,development and initiation of strategies to enhance and grow the partner relationship. This role is focused on increasing product adoption, growing revenue with existing Integrated Partners. Job Responsibilities Experience in sales and/or relationship management role with documented successful track record • ISV, Middleware, Var/Dealer experience with a proven track record of solution selling and ability to differentiate and drive value/revenue • Experience working with internal and external executive management • Demonstrated performance against quota assignments for multiple years • Possess a fundamental understanding of solution selling. Demonstrated ability to build and sustain relationships at a senior level with partners gaining trusted advisor status • Strong influencing and negotiation skills • Prior experience with ISV's, Middleware or VAR/Dealers preferred • Excellent verbal and written communication, negotiation and project management skills. Proficient with Powerpoint and other presentation software. Scope of Job Long sales cycle. C-Level (CEO, CFO, COO) sales. Autonomy Works with minimal guidance.   Job Requirements Bachelors degree or equivalent with 10 years sales related experience preferred. Degrees Bachelor of Arts First Data is an Equal Opportunity Employer (Minorities/Females/Vets/Disabled/LGBT)   Primary Location :   United States-New Jersey-Jersey City-Jersey-101 Hudson Street Other Locations :   United States-Georgia-Atlanta-Atlan-5565 Glenridge Connector, United States-Texas-Dallas-Dalla - 1010 W. Mockingbird Ln, United States-New York-New York-New York-225 Liberty Street Job Field :   Long Cylce Sales Schedule :   Full-time Job Posting :   Aug 31, 2016 Manager Level :   L4 - Upper Mid Mgmt/Director Employee Status :   Regular"
"SKILLS","and written communication skillsAble to communicate in a professional and proficient manner with clients (e.g.","oral","\"Entrust Your Career to HealthTrust As HealthTrust Workforce Solutions, we focus on a healthcare facility's most valuable resource for delivering exceptional patient experiences - its people. We believe healthcare isn't defined by the four walls in which it's practiced. It's defined by the people for whom and by whom it is delivered. JOB DESCRIPTION JOB TITLE: Physician Agent GENERAL SUMMARY OF DUTIES: The Physician Agent is responsible for the sourcing of candidates for the recruitment and placement of clinical staff to fill posted positions within affiliated facilities. The Physician Agent will identify, contact, interview and screen candidates for nationwide staffing opportunities via cold calling, Internet, journals, and various databases. They are expected to develop and maintain strong relationships with candidates and will be an essential part of the overall candidate experience. SUPERVISOR: Director - Locum Tenens SUPERVISES: N/A ESSENTIAL FUNCTIONS INCLUDE BUT ARE NOT LIMITED TO:Develop and maintain strong relationships with physician candidates.Identify, contact, interview, and screen candidates nationwide for staffing opportunities via cold calling, Internet, journals, and various databases.Analyze and evaluate candidate qualifications, education, background, interests, geographical preferences, family requirements, and compensation requirements.Identify candidate's availability to interview with clients.Maintain consistent communication with candidate through the placement process.Secure final contract between the client and the selected candidate.Solicits additional contracts and referrals from existing and potential clients.Prior to candidates assignment, confirm hospital privileges, secure a copy of the physician's license, assist in obtaining needed documentation, cover last minute issues with candidateIndependently research medical terminology, specialties, advances, state licensing processes, market conditions, malpractice insurance, health insurance and managed care issues, practice arrangements, compensation structures, legislation, and tort reform on an ongoing basis to develop and maintain competence necessary to proficiently and professionally represent Parallon and its clients, and analyze and evaluate client needs and candidate qualifications as part of the ongoing training process.Work closely with the client representative to relay a full understanding of the candidate's interests, availability, scope of practice, travel needs and pay rate requirements.Develop a full understanding of client needs prior to contacting candidates; address any questions with the client representative.Submits weekly activity/call reports concerning candidate related activities to team director.Maintain candidate status, conversations, records, etc. in company database (PCR).Assists candidates with preparing resumes and advises them about job interview skills.Consistently achieve key performance indicators as set forth by company standards.Expected to, on his/her own time and at work, stay current and informed of the industries, specialties, facilities, licensing requirements, etc. that may be pertinent to opportunities for current/future physician candidates.Practice and adhere to the \"\"Code of Conduct\"\" philosophy and \"\"Mission and Value Statement\"\".Performs other duties as required and assigned.KNOWLEDGE"
"Director","Accounting and Auditing Services","Las Vegas, NV 89119","Director Portfolio Services. Immediate opportunity for a Director of Portfolio Services to oversee and direct the collection activities, ensure compliance with policy and procedure, and establish divisional goals. EmployerWork for a luxury vacation timeshare that provides its members with an exceptional vacation experience. With access to over 3,700 resorts worldwide, and flexibility in their travel options, allows for a continual growing member base.Director of Portfolio Services Job DutiesAs the Director of Portfolio Services you will be responsible for the collection activities in a call center atmosphere for a 10+ member team, develop and manage collection strategies, provide analysis and recommendations on delinquency statistics, and staffing performance. Ideal CandidateThe ideal candidate will have worked in a call center environment managing and leading collection activity, developing and coaching staff, provide strategy for collections, understand a client portfolio. Candidate will manage a team of 10+ representatives. Job Requirements2+ years of timeshare collections and strong knowledge of timeshare/hotel/resort/travel industry is a MUST!Commitment to Excellence in Customer Service.Experience with collection analytics and call center statistics.Strong written and oral communication skills including effective interpersonal skills.Salary Range & Benefits$85-$100 Depending On ExperienceHealth, Wellness, Flexible Spending Account, Employee Stock Option Purchase Plan, and Healthcare on site are just a few of the multitude of benefits offered.Application ProcessOnce we know you are interested, a Randstad Recruiter will review your resume and contact you to better understand your skills and toll you more about the opportunity. We will meet qualified candidates face to face and our best talent interview with the employer fact to face-we will move quickly.Interviewing now! Click Apply to submit your resume or email jennifer.parkhurst@randstadusa.com. Not ready to apply but want to learn more; please call Jennifer Parkhurst at 702-734-1110"
"Director","Energy and Utilities","Broomfield, CO 80021","Summary: Lead RES Americas region energy storage engineering team that provides conceptual and detailed designs of utility scale energy storage projects (ESS); and support development, engineering and construction of ESS and combined technology projects. Specific duties: Leadership Accountabilities:  Identify, deploy, and manage a high-performing team needed to accomplish business objectives. Provide a positive and engaging work environment by:o   hiring outstanding talent; o   aligning individual and team objectives to department and company objectives; o   managing and supporting employee development and growth; o   providing regular and direct feedback on performance and goal progress. ·         Directs ESS engineering and design activities on EPC construction projects.   ·         Directs ESS engineering activities on development phase projects and bids.  ·         Technical specification, monitoring, testing and commissioning support for ESS equipment, with focus on inverters and battery systems·         Support technical evaluation and due diligence reviews for new ESS opportunities.·         Assists legal with negotiations for contract agreements with customers and suppliers. ·         Provides construction support, for immediate resolution of critical issues.   ·         Supports ESS performance analysis tool creation and maintenance.   ·         Provides review and technical advice for design issues.  ·         Performs risk and economic analysis and presents to executive board. ·         Directs ESS engineering activities supporting warranty and O/M activities·         Establishes, reviews, and updates department standards and procedures.   ·         Supports project management and controls processes.   ·         Develops tracking tools and methods to track and plan department resources.   ·         Visits sites as needed during pre-construction and construction to support project needs.·         Follows safety and security procedures and determines appropriate action.  Reports potentially unsafe conditions and uses materials and equipment properly.       Knowledge, Skills and Abilities: ·         Expert level of knowledge in:o   Utility Scale ESS Design, Technical and Commercial Performanceo   Utility Scale Inverterso   Battery Systemso   Operational Needs of Owners, Utilities, Grid and Interconnection Entities  ·         Advanced level of knowledge in:o   Communication, internally and externallyo   General Electrical and Mechanical Design  o   General Design for Constructability  o   Familiarity with Industry Standardso   Personnel Management   o   Client Management   o   Organization   o   Concepts of Electrical Collection System Designo   Microsoft Excel (Advanced) ·         Intermediate level of knowledge in:o   Project Scheduling Tools  o   Detailed Design Software:§  Fundamental understanding of AutoCADo   MS Office (Excel, PowerPoint, Word, Outlook, etc.)   Qualifications: ·         Bachelor’s degree (or equivalent) in Mechanical or Electrical Engineering (Master’s degree preferred)·         10+ years cumulative engineering experience with relevant solar experience ·         Professional Engineering certification·         Must have a valid current driver license, eligible for corporate vehicle insurance coverage.·         Must be able to obtain a valid current passport to travel outside the U.S. Physical requirements and environment: The work environment and physical demands characteristics are representative of those the employee encounters while performing the essential functions of this job.  Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Performs primarily sedentary office duties with occasional travel to other Company offices or construction sites.  Incumbent may occasionally lift up to 10 pounds and may be required to sit, stand, walk and use a computer.We maintain a drug-free workplace.  Candidates will be required to pass a pre-employment background investigation and drug test as a condition of employment.RES Americas is proud to be an EEO employer."
"Director","Business Services - Other","Prospect Park, PA 19076","Our client, a pharmaceutical industry leader, has provided BeckerTek with an exclusive search- they are looking for a new Director, Custom Market Research - specifically within Healthcare and Pharmaceutical sectors. The Research Director builds client relationships, leads development of proposals, custom research projects and consulting engagements. This position leads a team and is responsible for their success in leading and executing the entire process for large custom research and consulting projects. These responsibilities include defining project objectives, writing proposals, managing research projects, presenting conclusions and recommendations to clients. This role has sales, client management, practice development and associate management responsibilities. This position reports to the Custom Research Practice Leader and works closely with other operating groups including, Syndicated, Sales and Marketing, Operations, Finance, and Human Resources to achieve firm goals. Skills & Abilities Requirements: Understands the steps in developing a brand situation analysis/business plan Able to describe a patient journey map and the key areas of opportunity and leakages Must know about the disease state and patient treatment experience Able to articulate the influence of organizations on the performance of a pharmaceutical brand Working knowledge healthcare market access dynamics Excellent client presentation and engagement skills Excellent personnel management and development skills A demonstrated ability to build successful work teams Demonstrates ability to lead people and get results through others Demonstrates self-awareness and accountability Possess strong organizational planning and management abilities Demonstrates collaborative problem solving that include Identify issues, suggest solutions and options, discuss and identify final solution Able to work under pressure, meet deadlines, and work on multiple projects simultaneously Strong conceptual, analytic and problem solving skills including ability to communicate complex concepts to target audiences using data, figures, illustrations, and verbal communications Budgeting, financial planning, and P&L management skills Outstanding business development and client management skills Solid understanding of pharmaceutical business practices and the issues clients face Working knowledge of the market research development process Quantitative and Qualitative market research skills Understanding of basic statistics Excellent project management skills Demonstrates good moderator techniques Primary Duties and Responsibilities: Business Development & Sales: 15-20% Develops understanding of client needs and decision drivers Probe, clarify and obtain accurate understanding Identifies key questions that lead to a complete understanding of the client's business need Collaborates/consults with clients to identify potential business solutions that address their needs Successfully influences client perceptions to achieve desired outcomes with audiences of all levels and types Adapts language describing how the company can provide a customized solution to meet the client's business need as more is learned about their product, technical, business, personal, and political decision drivers Continually evaluates project opportunities for fit throughout the sales process Qualifies and disqualifies opportunities Moves project opportunities forward based on an accurate assessment of likelihood of successfully completing the project Builds and develops positive relationships within assigned client companies Proposal Development- 25-35% Develop proposals for consulting engagements and market research projects that clearly identify client needs, timing and budget with an offering that has a good chance of success Develop project plans and budgets(including resource needs & timelines) Translate clients' stated needs into business questions/goals and helps to refine through dialogue and hypotheses Develop proposals that Articulate to clients how company can help the client solve their business needs Identify potential work outputs (of market research)that answer client's specific business questions (Customer Specific Value Creation) Able to identify and articulate components of client deliverables Incorporates knowledge of healthcare market conditions/happenings to develop client's business goals and project objectives Client Deliverable Development- 20-30% Ensure that projects maintain alignment to establish goals with clear endpoints and outputs Resolves project problems to that result in clients satisfaction Develop final deliverables that tell an engaging story and are easily understood by clients Advise client on appropriate methods, questions and inputs to provide the best answers to their needs Ability to translate large amounts of data and other types of information from multiple sources to complete a final analysis of a business question/situation and make recommendations/suggested actions that are aligned to the client need Keep projects within budget and/or estimated timeline by anticipating and resolving issues internally and with clients Lead project teams including developing and communicating budgets, project timelines and resource needs with internal team Lead and/or work successfully within research project teams Able to translate research objectives with hypothesis into a research outline that guides the questions for research tool development Client Delivery and Management- 25-30% Establishes good-positive working relationships with clients Delivers client presentations that are clear, concise and deliver key conclusions during the time frame allowed while answering clients questions effectively Probes clients in a way that facilitates discussions during final presentations Demonstrates therapeutic, market and pharmaceutical knowledge when engaging with clients Leadership, development & management of associates- 20-30% Responsible for developing a team of mid to senior level associates Provide training and development to associates on pharmaceutical clients Develop associates skills through one-on-one coaching, mentoring and providing appropriate client opportunities to practice skills Develop and communicate clear and appropriate performance objectives Train and educate associates on company process, operations, culture, clients, and analytic skills Build and maintain highest level of associate engagement through communication of common goals emphasis on client satisfaction and team interactions Develop and lead a team that consistently demonstrates the firm's Leadership competencies within the firm Effectively coach and develop associates across the firm Champion organizational initiatives across the firm and represent practice on firm committees/work groups Work closely and effectively with all operating groups to achieve firm goals Education & Experience Required: B.S./B.A in relevant field of study required Advanced degree (e.g., MBA, MS, MPH) preferred. Ten plus years of pharmaceutical, medical/health industry-related experience required Three plus years of business development and client management experience required Three plus years of experience leading consulting and market research projects required Requires overnight travel approximately 20-30% of time Proficiency in MS Word, Excel, PowerPoint, Outlook *Excellent compensation and benefits package!*"
"Director","Accounting and Auditing Services","Columbus, OH","BDO’s Core Purpose is Helping People Thrive Every Day. Our Core Values reflect how we manage our work, our relationships and ourselves. As an employee of the firm, you will live true to our Core Values of people first, being exceptional every day in every way, embracing change, feeling empowered through knowledge and choosing accountability. Our Core Values are the standards by which we conduct ourselves day in and day out, both internally and externally.The Director title is reserved for professionals who achieve recognition in a technical area of assurance and risk management. The person is qualified to perform certain limited yet critical additional technical functions as an Engagement Director or as a Concurring Reviewer. These additional responsibilities are conferred only as outlined above. This senior role recognizes the person as an expert of great long term value to the firm.Education:- Four-year degree in Accounting- MBA/Masters in Accountancy may be a plusExperience:- Ability to supervise managers, seniors and staff, as the situation dictates, motivate team- Possess strong GAAP and GAAS technical skills and knowledge with possible industry expertise in a specialized and technical field of assurance- Advanced knowledge of SEC reporting rules, if required by specialization- Possess people development and delegation skills, including training/instruction- Possess executive presence - need to be able to be primary contact for the client, prepare and present presentations to clients and potential clients- Possess excellent risk management decision-making skills- Able to function as Engagement Director on certain engagements as set forth by specific policy- Get involved with other areas of practiceMON"
"Director","All","Baltimore, MD 21201","SUMMARY: The successful candidate will execute the company’s political and legislative strategy in designated states within the company geography, including specified municipalities in that geography important to the company’s business strategy.  Heavy focus will be on developing and maintaining key relationships with state and local policymakers and forging strong community partners, and lobbying in city and state legislative bodies. Additionally, the role will provide regional strategic political, public affairs, and advocacy analysis to the Vice President, Government Relations,  and assist with public affairs and advocacy efforts in the region to favorably impact the policy environment in which the company operates.  In all activities, the role will be representing the Company and adhering to its Purpose with the highest possible integrity acting as the Public Affairs, Communications and Communities local presence for that department’s strategic initiatives. ESSENTIAL DUTIES AND RESPONSIBILITIES INCLUDE THE FOLLOWING (OTHER DUTIES MAY BE ASSIGNED): Manage and execute comprehensive state and local lobbying programs in Maryland, Delaware, Virginia and the District of Columbia. Plan and host site visits, tours, and other events with policymakers and influencers.  Represent the Company at appropriate dinners, legislative days, hearings and other gatherings with key policymakers and influencers. Develop and maintain relationships with key influencers and policy makers in municipalities of strategic importance to the company with heavy focus on Richmond, VA, Washington, DC and Baltimore, Maryland. Work with state beverage associations to support industry lobbying efforts in the geography. Provide regular briefings on legislation and issues of importance to the company. Understand and communicate issue  trends  important to the industry and recommend strategies  to VP Governmental Relations so that company’s public policy strategies and messaging have the highest possible impact. Coordinate closely with relevant contacts throughout the company to identify potential issues in advance and leverage resources in policy engagements to maximize the impact of state lobbying efforts.  Advocate before governments at all levels on behalf of the company. Develop and maintain strategic community partnerships.  Act in coordination with the department’s community engagement team to activate strategic community initiatives. Coordinate any necessary company media outreach and/or response with VP of Communications.   CORE COMPETENCIES:  Proactive individual with excellent, strategic, political and relationship skills.  Must have ability to execute strategic political and lobbying programs and to navigate nuanced political issues and personalities and establish and maintain strong and strategic relationships with key influencers.  The successful candidate should have the ability to absorb complex legislation in order to understand its possible impact on the beverage industry.  An in-depth understanding of the legislative process is preferred.  The candidate should be a highly motivated self-starter who enjoys a fast-paced environment. Other competencies include: Project Management – Coordinates numerous projects at once; works well independently; manages heavy workload; can respond rapidly to changing circumstances and demands; meets all deadlines. Customer Service – As a key representative of the Company with political players, responds to requests for service and assistance both internally and externally quickly and congenially; meets commitments consistently and thoroughly, strong and timely follow-through. Interpersonal Skills - Maintains integrity, confidentiality, congenial, tactful and trustworthy.  Is a problem solver and strong collaborator with exceptional interpersonal skills and track record of successfully working with community leaders and influencers. Communication - Writes in an excellent professional, politically-savvy manner, informatively and compellingly; thoroughly accurate.  Has strong advocacy skills; both written and verbal with the ability to translate complex issues and break down jargon into plain language that is easily comprehended by the others.                                               Teamwork – Team contributor who is willing to pitch in to perform any variety of tasks. Ability to work across functions with both internal and external stakeholders and partners.  Ability to be highly collaborative with local sales and operational team. Judgment - Exhibits sound political insights and consistently accurate judgment; anticipates challenges and opportunities; applies appropriate resources/strategies to meet objectives. Planning/Organizing - Prioritizes and plans numerous activities; extremely efficient and organized; uses time productively; meets all deadlines.    Professionalism - Approaches others in an amicable manner; reacts well under pressure; treats others with respect and consideration regardless of status or situation.  Displays an excellent professional presence and demeanor. Quality - Demonstrates accuracy and thoroughness; exhibits creative thinking and problem solving. Dependability - Take initiatives and operates proactively; ability to develop projects and meet goals with minimal supervision. Knowledge - Thorough understanding of political and legislative process preferred; knowledge of beverage industry preferred. Ability to understand and summarize complex legislation preferred. Computer Skills - Proficiency with word processing, and knowledge of spreadsheets and database management. Education And/Or Experience - College degree required, 5-7  years experience in Politics and/or Governmental Relations preferred. Physical Demands - The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this Job, the employee is regularly required to sit; and use of motor skills. Work Environment - The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. The noise level in the work environment is usually quiet. This position may require overtime. Candidate must be flexible to work overtime if needed. CCBCC is an equal employment opportunity employer. See Job Description"
"Director","Computer Hardware","Las Vegas, NV 89119","The Director, Service Support is responsible for managing and directing the company’s technical services for all company products.  This includes managing the support departments, escalation management and providing strategic direction to evolve service capabilities for the organization.  The Director will oversee all centralized support functions and offer assistance to other functional areas within the company including pre-sales support, project services, game shows, product launches and field trials. Management -Provides proven leadership and direction for planning, organizing, developing and integrating the technical efforts -Continuously maintain the quality and consistency of execution of the company's proprietary technologies and related technical work. -Ensures staff is skilled to support the latest technology products, software upgrades and/or new releases. -Directs the activities of the support organizations to have training in the operation of company products.  Validates Learning Paths are current to technology roadmaps. -Develops, provides and reports operational metrics and dashboards to facilitate the management of the service support function. -Strive to meet individual employee’s non-monetary needs for career self-fulfillment (responsibility, specialization, exposure, business environment, etc.) while addressing company needs. Maintenance -Reviews warranty claims and managing these services billing services.  Software Lifecycles -Manages escalation processes for service and support responses. -Establishes and maintains lines of communication with software development on design, reliability and maintenance issues. Process -Plans support documentation, technology support process flows, and implementation documentation.  -Experience in deploying and utilizing advanced call management systems.  Can architect CRM tools and manage implementation and usage for a positive first call response. Fiscal Responsibility -Manages department’s revenue budgets, costs, and P&L forecasts. Perform other duties as assigned.    Experience & Qualifications -Bachelor’s Degree in Business or Information Technology.Master’s degree preferred. -Advanced technical skills in the area off support, administrative management skills, teamwork orientation and the personal skills to effectively service and communicate with all stakeholders interacting with the technical department. -Personal skills and the confidence to lead, direct and motivate the technical staff as a strong functional leader, while also exhibiting the steady reliability and teamwork attitude needed to effectively interface with the other functional areas of the company on a matrix basis. -Minimum 10 years experience in a technical service industry is required. -Proven experience in the gaming industry managing technical call centers is essential. -A minimum of 7 years Management experience with a history of being a key contributor to the company’ssuccess. -Proven technology support management, project management experience is essential. -A minimum of 3 years in a Customer facing role. -History of qualifications in relevant gaming support.Must be advance in skills with current service information systems technology with strong analytical abilities. -Actively pursues ongoing individual development for oneself. -Must have advance knowledge working within a slot management system and within a window environment.Oasis architecture is required. -Excellent communication and presentation skills, both oral and written. -Personal skills and the confidence to lead, direct and motivate the technical staff as a strong functional leader, while also exhibiting the steady reliability and teamwork attitude needed to effectively interface with the other functional areas of the company on a matrix basis. Ability to establish rapport with senior executives. -Must be a creative, forward; work independently, positive thinker and team oriented."
"Director","Healthcare Services","Job Description Position is responsible for providing leadership, direction and support for one or more Patient Care departments. Ensures the delivery of quality care to patients. Responsible for planning, implementing, reviewing and controlling the budget, staffing, and Continuous Quality Improvement process.Location:Greater Heights HospitalMinimum Qualifications:Minimum of a BSN required.  Current licensure through the Board of Nurse Examiners for the State of Texas.  At least five years of progressive clinical experience.  Professional Certification in clinical area or management.  Demonstrates commitment to the Partners-in-Caring process by integrating our culture in all internal and external customer interactions; delivers on our brand promise of “we advance health” through innovation, accountability, empowerment, collaboration, compassion and results while ensuring one Memorial Hermann.Principle Accountabilities:Monitors and directs all patient care activities. Responsible for directing clinical and non-clinical personnel. Reviews and approves all new hires, establishes and controls standards for performance appraisals. Identifies staffing needs of the department and provides for accordingly. Coordinates in-service/training needs of staff with Staff Development department. Remains available, accessible and visible to staff. Recognizes staff’s achievements and accomplishments and provides ongoing feedback on performance. Establishes scope of service, goals and develops strategic plan for the department. Stays up-to-date on new developments in the field and incorporates such in the department’s scope of service. Reviews departmental policies, procedures, and systems. Complies with all applicable regulatory requirements and standards. Conducts appropriate department promotional activities and participates in hospital marketing activities. Assures that revenue, expenses, contribution margin and FTE’s meet or exceed budget. Prepares and submits budget and related reports. Forecasts and accurately projects expenses. Takes corrective action to address negative variances. Identifies and proposes capital budget items appropriately. Promotes physician input and communication; includes medical staff in planning new or revised policies, procedures and services. Provides rapid response and follow-up to medical staff issues/concerns; greets new physicians and orients them to the department services; seeks new ways to encourage new physicians to utilize our hospital services. Ensures safe care to patients, adhering to policies, procedures, and standards, within budgetary specifications, including time management, supply management, productivity, and accuracy of practice. Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency. Supports department-based goals, which contribute to the success of the organization. Serves as preceptor, mentor, and resource to less experienced staff.MNTRST","Job Description Position is responsible for providing leadership, direction and support for one or more Patient Care departments. Ensures the delivery of quality care to patients. Responsible for planning, implementing, reviewing and controlling the budget, staffing, and Continuous Quality Improvement process.Location:Greater Heights HospitalMinimum Qualifications:Minimum of a BSN required.  Current licensure through the Board of Nurse Examiners for the State of Texas.  At least five years of progressive clinical experience.  Professional Certification in clinical area or management.  Demonstrates commitment to the Partners-in-Caring process by integrating our culture in all internal and external customer interactions; delivers on our brand promise of “we advance health” through innovation, accountability, empowerment, collaboration, compassion and results while ensuring one Memorial Hermann.Principle Accountabilities:Monitors and directs all patient care activities. Responsible for directing clinical and non-clinical personnel. Reviews and approves all new hires, establishes and controls standards for performance appraisals. Identifies staffing needs of the department and provides for accordingly. Coordinates in-service/training needs of staff with Staff Development department. Remains available, accessible and visible to staff. Recognizes staff’s achievements and accomplishments and provides ongoing feedback on performance. Establishes scope of service, goals and develops strategic plan for the department. Stays up-to-date on new developments in the field and incorporates such in the department’s scope of service. Reviews departmental policies, procedures, and systems. Complies with all applicable regulatory requirements and standards. Conducts appropriate department promotional activities and participates in hospital marketing activities. Assures that revenue, expenses, contribution margin and FTE’s meet or exceed budget. Prepares and submits budget and related reports. Forecasts and accurately projects expenses. Takes corrective action to address negative variances. Identifies and proposes capital budget items appropriately. Promotes physician input and communication; includes medical staff in planning new or revised policies, procedures and services. Provides rapid response and follow-up to medical staff issues/concerns; greets new physicians and orients them to the department services; seeks new ways to encourage new physicians to utilize our hospital services. Ensures safe care to patients, adhering to policies, procedures, and standards, within budgetary specifications, including time management, supply management, productivity, and accuracy of practice. Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency. Supports department-based goals, which contribute to the success of the organization. Serves as preceptor, mentor, and resource to less experienced staff.MNTRST"
