"job_title","company","location","description"
"Software Engineer","Fidelity Investments","Boston, MA","We are looking for top engineering talent as we design, build and advance our software solutions. Well-qualified candidates have an excellent knowledge of Java, although we’re open to strong developers with experience in other languages or frameworks and a desire to learn. Our full stack engineers work across a range of client, middle tier, messaging, caching and database technologies including Java, Scala, TypeScript, JavaScript, WPF, SQL and PL/SQL. Roles involve working in a highly collaborative and engaging agile environment.The Expertise You HaveBachelor’s degree or higher with 4+ years’ experience in a technology related field (e.g. Engineering, Computer Science, etc.) required.Experience as a full stack software engineer, delivering software using agile development practices.Experience working with Java and any Java frameworks, such as Spring, Struts, and Hibernate.Exposure to coding in more than one programming language is a plus.The Skills You BringYou use your knowledge of testing and testability to influence better software design, promote proper software engineering and bug prevention strategies, testability and security.You are passionate about customer experience, delivering solid products, and creating the best customer experience.You have a proven track record designing and building complex end-to-end systems.You are creative, energetic, assertive hands on professional who enjoys the challenges of change.You are motivated, self-directed, and results oriented with a collaborative work style in building, designing, and reviewing code.The Value You DeliverProven understanding for analyzing technical requirements, developing test plans, crafting, developing and execution automation.Strong technical skills and a passion for programming.Ability to learn new technologies quickly.Providing automation solutions for projects from an end to end perspective.Performing reviews of development code, automation strategy and test plans.Bringing a curiosity and a questioning mind-set to work, asking always about the “why” and the “value” of an activity or task.Company OverviewAt Fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want. We are a privately held company that places a high degree of value in creating and nurturing a work environment that attracts the best talent and reflects our commitment to our associates. We are proud of our diverse and inclusive workplace where we respect and value our associates for their unique perspectives and experiences. For information about working at Fidelity, visit Fidelitycareers.comFidelity Investments is an equal opportunity employer."
"Sr. Software Engineer","ACI Worldwide","Omaha, NE 68102","Join Us as We Make Possibilities HappenEvery action we take as 1ACI redefines what’s possible.As Innovators, we Envision possibilities. As Developers, we Build possibilities.As Leaders, we Empower possibilities.At ACI, we’re not just driving payments at the speed of change. We’re Making Possibilities Happen.Our people are the core of our business. Our 1ACI team represents a globally diverse, passionate and dedicated group of thousands of individuals around the world who share a common commitment to making our customers successful by driving the future of payments. As a Sr. Software Engineer in Omaha, NE you can help make possibilities happen.Who are we as an organization?ACI Worldwide’s mission is to transform the global payments ecosystem making any payment, every possibility. At ACI we make fast, simple and secure payments possible around the world by connecting more ways to pay with more payment capabilities than any other provider.Values: As 1ACI we operate with customer obsession, personal success, agility, curiosity, passion for action and teamwork. Our people are the core of our business. Our 1ACI team represents a globally diverse, passionate and dedicated group of thousands of individuals around the world who share a common commitment to making our customers successful by driving the future of payments. ACI does business in more than 80 countries, respecting the local language and culture everywhere we operate.Objectives: Our four key objectives give us a clear idea of where we are headed and what we are trying to achieve. Our people are the most important factor and #1 objective in the successful execution of our strategy. Customer Experience: Here at ACI we live and breathe on providing top notch customer experience. We treat customers and colleagues with respect, we share our expertise with internal and external customers, we believe in delivering competitive advantage and operational excellence and we believe in being easy to do business with. Passion for Technology: We are a technology company and our mission and vision are tied to our passion, our passion for technology.Global Mindset: ACI does business in more than 80 countries and a diverse pool of employees bring in their rich culture and diversity into the organization. Our cross-border teams work collaboratively despite different time zone, and work cultures.Women in Leadership roles: ACI’s culture promotes women at all levels of employment. Some of our top leadership roles in technology, Sales, Marketing are held by women.At ACI Hadoop Developers are involved in building applications that power electronic payments for more than 5,100 organizations around the world. These products execute $14 trillion each day in payments and securities transactions for more than 300+ of the leading global retailers, and 18 of the top 20 banks worldwide. These suites of software and cloud-based solutions, deliver real time, immediate payment capabilities for our customers.Talent that comes into ACI Worldwide enables us to link ACI and the customer through real time, cutting edge technology by delivering high quality products and service to the Banks and financial institutions, merchant retailers, billers and processors,Essential Duties and Responsibilities:Technology talent within ACI is responsible to work in an agile development environment developing and supporting high quality products, working closely with users, business analysts, scrum masters, project managers, software security and other cross-functional teams to ensure only the most tested, superior quality product is rolled out to our customers.Qualifications we are looking for:Minimum of bachelor’s degree in computer science or related fields.Programming experience in front-end Java/J2EE technologies or Core Java experience.Experience with RDMS like Oracle, DB2, SQL Server and/or Postgress.Excellent communication skills both verbal and written.Talent coming into ACI must be an analytical thinker, have a global mindset, technology savvy, have strong business acumen, can work in a collaborative global team environment, be a strong problem solver and must be result-driven.In return for your expertise, we offer challenge, opportunity, and an excellent compensation and benefits package in a casual environment. Are you ready to help us transform the world of electronic payments? To apply today, visit our web site at www.aciworldwide.com and use job code 18001334.** We are always looking for great talent for our Technology positions. Applications to this opportunity will be considered for all Software Engineering requisition with consideration for the level and location of the role.ACI Worldwide is an AA/EEO employer, which includes providing equal opportunity for protected veterans and individuals with disabilities."
"Jr. Web Developer","WebFX, Inc.","Harrisburg, PA 17102","WebFX is looking for qualified candidates to fill the position of Jr. Web Developer. Employees in this role will coordinate and participate in the programming, implementation, testing, and support of web-based projects using the LAMP solution stack of software, among other responsibilities."
"Technical Training & Support Specialist IT (Roseburg, OR)","Umpqua Dairy","Roseburg, OR 97470","Technical Training and Support Specialist ITThis is a full time position with a generous benefit packageSUMMARY:We are looking for an enthusiastic Technical Training and Support professional to support and educate our staff in the various technologies used at Umpqua Dairy.You will develop technical training programs based on the needs of Umpqua Dairy. You will assist employees in developing skills that will help them adhere to procedures and maximize their proficiency with computers and software programs. As well, as providing daily technical support to all end users at Umpqua Dairy. You will be part of the Information Technology department and will report to the IT Manager.The ideal candidate for this position has a strong understanding of technical software and computing systems (desktop operating systems, software, computing devices, etc.), routinely thinks outside the box to solve problems quickly and is a quick learner. This candidate will be required to learn the systems in place at Umpqua Dairy and be able to support these systems as questions or issues arise. As well as training and supporting new software and systems adopted by Umpqua Dairy. Solving issues as needed in a timely manner and escalating issues to the correct dept. or staff member is required. One essential skill needed is to be an excellent communicator, able to explain complex technical subjects in a clear and interesting way.The goal is to contribute to the development of Umpqua Dairy Employees technical computer skills to meet organizational needs and to support our employee’s technical needs in their daily job activities.Technical Training & Support Specialist IT ResponsibilitiesProvide technical support on the computer systems and software used at Umpqua Dairy. Strive to become a subject matter expert in Dynamics Navision processes/procedures, Microsoft Office products, High Jump Software, and all other software used at Umpqua Dairy.Go to each department learn what software is used, Study the software to make recommendations for improvement and/or to provide technical support to employees using the softwareKeep up with new software needs and learn new software/computer systems as needed.Solve end user technical issues and escalate issues as needed.Repair computer systems as neededDevise technical training programs according to organizational requirements and needs.Produce training schedules and determine correct delivery mechanism (screen sharing, classroom, one on one, videos, etc.)Determine course content according to objectives and needs of users.Enforce procedures put in place by the IT Manager or department heads.Prepare and create training material (presentations, documentation, worksheets etc.)Maintain Documentation ensuring it is up to date with current procedures or needs.Create Documentation as needed and submit to IT Manager for review.Create Video training files as neededFind new ways to improve technical procedures and/or technical proficiencies.Execute training sessions, webinars, workshops etc. in groups or individually as you see fit.Arrange for and conduct on-site training when neededMaintain training logs on effectiveness of training and track remedial training. Submit this data to Umpqua Management on a monthly basis. Track effectiveness, problem areas and staff members that are struggling.Find new ways to “reach” employees training needsObserve and evaluate results of training programs.Are employees adhering to and following the procedures or training provided?Determine ways to remedy problem areasEvaluate the training and documentation materials periodically to ensure their effectiveness and validity.Support the Inventory Control/Data Support position as needed. Including covering this position when the Data Support Specialist is absentSystem Setup Specialist – learn how to setup Customers, Items, and other key setup system functions. The goal is to be the “go to” person in the absence of the primary setup staff member.Provide “after hours” support as neededRequirementsAbility to provide technical support on a wide range of computing devices and software programs used at Umpqua Dairy.Quick learner on computer software and hardwareAbility to effectively teach and support end users with varying degrees of computing skills.Ability to assess training needs and create documentation is necessary.Knowledge of training techniques and tools in technical subjects is usefulOutstanding listening and communication skillsComfortable speaking to crowds or one on oneUnderstanding your audience’s computer skills is essentialExcellent organizational and time-management abilitiesAbility to think on your feet and solve problems quicklyAssertive in procedural enforcementAbility to work through highly stressful situations with a pleasant demeanorAbility to work all shifts as company needs dictate – possibly on a truck at 2am with a driver or filling in for the Data Support Specialist, or 6am training Plant staff, etc.Bachelor’s degree is desired with a focus on a computer related degree or several years in a technical role providing tech support and training will be considered.#ZR"
"Software Engineer - Full Stack","IntelliFarms","Olathe, KS 66061","Software Engineer - Full StackIntelliFarms designs and manufactures embedded IoT products and software that goes into agricultural applications from grain storage and management - to weather data and automation in the fields. Our customers range from Farmers to Processors you’d recognize on the back of a box in the grocery store. We are well past our start up phase and don’t rely on outside capital.We are on the cutting edge of AgTech - and need your help to stay that way.A Full Stack Software Engineer will work on the Applications team to build and improve the software that our customers use. The Applications team within IntelliFarms creates the applications that collect and translate data from our Agricultural IoT devices to information that our customers can use and make sense of.This will range from the ETL operations we perform when we receive data from our hardware devices, to building out the APIs that serve our applications, creating the interfaces that our customers experience, and building internal tools to help maintain our dedication to quality.What we look for:Quick learner - You love to learn and are able to quickly pick up tools and put them to useExcellent at communicating your ideas and gathering requirementsDetail focused - while understanding the importance of getting a product shippedA relevant college education and/or equivalent experienceAn interest in learning tools / languages related to our stack (React.js, Graphql, Kubernetes etc)BONUS: An understanding of API design and architecture, distributed back-end systems and microservices, or containerization / virtualizationBONUS: You have worked with AWS or other cloud based providersBONUS: A love for BBQ or SushiOur stack:We are not worried about whether your experience is perfectly aligned with our tools and more that you want to learn our stack and bring your experience building solid web applications. We are believers in personal and professional growth, so you can learn in areas you might have less experience and teach where you have more.React / Ember.jsGraphql, Node & PHP microservicesAWS (IoT, SQS, RDS, etc...)Kubernetes / DockerGitlab (CI/CD)LinuxAt IntelliFarms you will:Solve unique problems that don't exist in other domainsBe part of a team that cares about who you are and your growth as a software engineerDesign, build, and maintain software that provides profit to farmers and food to your familyReceive great benefits (401k match, catered lunches, sushi dinners, beer fridge, dog friendly workplace, gym equipped with Pelotons, and more…)If you think we might be a match for you, please respond with your resume attached.Job Type: Full-timeExperience:node.js: 1 year (Preferred)react.js: 1 year (Preferred)Work Location:One location"
"Senior Software Engineer","Virgin Pulse","Minneapolis, MN","Minneapolis, MN or Appleton, WI office locationWho is Virgin Pulse?Virgin Pulse, founded as part of Sir Richard Branson’s famed Virgin Group, helps organizations build employee health and wellbeing into the DNA of their corporate cultures. As the only company to deliver a powerful, mobile-first digital platform infused with live services, including coaching and biometric screenings, Virgin Pulse’s takes a high-tech-meets-high-touch-approach to engage employees in improving across all aspects of their health and wellbeing, every day – from prevention and building a healthy lifestyle to condition and disease management to condition reversal, all while engaging users daily in building and sustaining healthy habits and behaviors. A global leader in health and wellbeing, Virgin Pulse is committed to helping change lives and businesses around the world for good so that people and organizations can thrive, together. Today, more than 3100 organizations across the globe are using Virgin Pulse’s solutions to improve health, employee wellbeing and engagement, reduce costs and create strong workplace cultures.Who are our employees?At Virgin Pulse we are passionate about changing lives for good. We want to make a difference in the world by helping people be healthy so they can perform at their best, every day, at work and home. Our award-winning solutions support leading employers in improving and simplifying the employee health and wellbeing journey and engaging people in all aspects of their health. But our world-class products and programs are nothing without our people – the employees who design, build, promote, sell, test and perfect the latest innovations in workplace health and wellbeing. Our people are our top priority and we invest in their health and happiness. At Virgin Pulse, we have so much more than a strong, supportive company culture – we have a shared vision for a healthier, happier world.Who you are.You desire to be a professional Software Engineer and have a goal to help lead technology teams focused on continuing the growth of our next-generation SaaS application that serves millions of users. As a Senior Software Engineer at Virgin Pulse you will partner with team members to groom and implementing stories, fix bugs, and write unit tests with minimal oversight. You bring to the table an in-depth understanding of many modern open-source web technologies and are dedicated to learning more and helping others around you learn as well. You will work on a scrum team, collaborating with our Tech Leads, Product Owners and other talented Engineers to deliver great solutions on an exponentially growing application.In addition to the above you possess a number of desirable traits including:You have outstanding problem solving and analytical skillsYou are a good communicator (written and verbal)You are enthusiastic about working in a team, and have great people skillsA passion for learning technologies and applying them to the right projects will make you successful in this position.Our technology.Our next-generation SAAS platform is using an exciting mixture of technologies: Large scale, highly available, public-facing websites built in Angular and leveraging tools like Puppet, Terraform, Pug, Grunt and NPM to make things automated and repeatable. Our REST API services 50+ billion web and mobile requests a year and is built with Java, Kotlin, Spring Boot, and Hibernate. We’re using a combination of MSSQL, PostgreSQL, Cassandra and Redis for data storage. Redis, specifically, is used extensively in a distributed locking system, responsible for supporting real-time data processing. All of this uses Amazon Web Services for stability and high availability.We practice Continuous Integration and Continuous Delivery using TeamCity; as a result, we have continual smaller releases to our environments (Development, QA, Staging, Production), with integrated unit tests and code coverage analysis while eliminating the risk taken on with only a few large releases/product updates.What you bring to the team.In order to represent the best of what we have to offer you come to us with a multitude of positive attributes including:A Bachelor's degree in Computer Science, a related technical field or equivalent practical training and/or experience. Each will be considered equally.Object-Orientated development skillsExperience with modern (RESTful) web applicationsExperience with Java, Kotlin, or similar language dev skillsExperience with SQL; PostgreSQL is a plusExperience with common front-end technologies such as Angular, React, Pug, Bower/NPM, Grunt, etc.Experience writing Unit TestsAgile Scrum or Kanban methodologiesKnowledge of Scrum tools (Jira, confluence, etc.)Bitbucket/Git with pull requests in a team environmentUnderstanding of Continuous Integration / Delivery method experience (i.e. Teamcity, Jenkins, etc.)What makes you stand out.Spring Boot FrameworkCassandra / RedisAWS/SNS/SQS/RDSTerraform / Puppet / AnsibleMaven/GradleSecurity Competencies:Work to ensure system and data security is maintained at a high standard, ensuring the confidentiality, integrity and availability of the Virgin Pulse application is not compromised. Ensure industry best practice coding standards are adhered to, in particular, ensure all code developed at Virgin Pulse is free from bugs and security vulnerabilities, such as those defined and published by OWASP.Why work here?We believe a career should provide competitive pay and benefits, a collaborative and supportive work environment, strong employee culture and cutting-edge technology and services — so many reasons to love it here.We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to any protected class status."
"Senior Network Security Engineer","Kansas City Board of Public Utilities","Kansas City, KS 66101","Duties and Responsibilities of Senior Network Security Engineer: *Develop and implement network security standards, procedures, and processes for BPU.*Ensure optimal system performance by designing, implementing and maintaining system configuration (i.e. firewalls, servers, F5, and other security tools, etc.). Responsibilities include debugging, configuring, tuning, or changing system parameters.*Work cross-functionally within company and with outside vendors to coordinate updates to technology to meet current and long-term business needs.3rd tier support for all security tools included but not limited to firewalls, IPS, IDS, Multi-Factor Authentication, SSO, Anti-Virus, Content Filtering, SPAM filtering, etc.Monitor logs/reports from servers, firewalls, intrusion detection, network traffic, Email, Internet usage, access administration, for unusual or suspicious activity/violations, interprets activity, and recommends plans for resolution.Perform vulnerability scans and report findings to appropriate departments.*Perform incident response*Provide security support/recommendations for IT projects.Develop security diagrams, reports, policies, and User Awareness training.*Research security vulnerabilities, issues, and new solutions.Other duties as assigned.* Denotes essential functionMINIMAL EDUCATIONAL/EXPERIENCE REQUIREMENTS FOR SENIOR NETWORK SECURITY ENGINEER: Bachelor’s degree from an accredited college or university in Information Technology, Computer Science, Information Systems, or other related field is required. The candidate must have a minimum of six (6) years current experience working with enterprise information technology systems with a emphasis on security. The incumbent must have a deep understanding of the operations of firewalls, load balancers, IDS/IPS, antivirus, web filtering, end point protection, and knowledge of Microsoft server and workstation operating systems, as well as common protocols and ports. Previous experience of log monitoring and event correlation of firewalls, IPS, IDS and server event logs is most important. Candidate must be well organized, highly skilled in the areas of oral and written communication and can work effectively with individuals at all levels of the organization while explaining and elaborating on technical details. Candidate must possess ability to work independently and in a team and have demonstrated an aptitude for troubleshooting technical problems with an emphasis on network security.QUALIFICATIONS FOR SENIOR NETWORK SECURITY ENGINEER: Ability to develop, follow and enforce security practices.High degree of knowledge of Windows Operating Systems, Active Directory, DNS, & Group Policy.Knowledge of network technologies and protocols.An advanced understanding of current threats and trends present in the Information Security,Technology, and utility operations fields.Ability to demonstrate strong knowledge of computer security concepts.Working knowledge of NERC CIP, NIST, and PCI standards.Security certification such as CISSP, SANS GIAC, Security+, Network+, Linux+, MCSE, CCNA, SSCP, CheckPoint CCSA or CCSEPREFERRED SKILLS/EXPERIENCE FOR SENIOR NETWORK SECURITY ENGINEER: Experience with Checkpoint firewalls.Experience with of F5 BigIP LTM, ASM and APMKnowledge of Windows OS and Linux/UNIX security.Understanding of network hardware devices and experience configuring Access Control Lists or other Firewall or Router configuration experience.Possess thorough understanding of TCP/IP, network protocols, packet analysis, hacking techniques, principles and techniques applied in securing operating systems and LAN/WAN networks.Previous experience with Web Filtering, Firewall & IDS/IPS monitoring.Initiative and a personal interest in Information Technology Security.PHYSICAL REQUIREMENTS FOR SENIOR NETWORK SECURITY ENGINEER: Applicants must be able to perform the essential job functions with or without a reasonable accommodation.Other InformationOPEN DATE: 10/24/2019CLOSE DATE: 11/07/2019NUMBER OF OPPORTUNITIES: ONE (1)Conditions of EmploymentAll BPU employees, at the inception of their employment, shall have a period of 12 months after employment begins to establish and maintain a legal primary residence within the legally defined boundaries of the Unified Government of Wyandotte County/Kansas City, KS.Equal Employment OpportunityThe Board of Public Utilities is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.Job Type: Full-timeSalary: $97,945.00 to $122,432.00 /yearExperience:Network Security: 6 years (Required)Education:Bachelor's (Required)License:Network Security (Preferred)Work authorization:United States (Required)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offRelocation assistanceProfessional development assistanceTuition reimbursementThis Company Describes Its Culture as:Stable -- traditional, stable, strong processesPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeSchedule::Monday to Friday"
"COMPUTER PROGRAMMER/SYSTEMS ANALYST (9553)","Santa Rosa County, FL","Santa Rosa County, FL","Analysis and formulation of program design of major application systems of data processing. Confers with Deputies to formulate statements of objectives, designs, solutions and develops effective programs. Responsible for programming from technical design phase to the operational phase. Essential Job Functions: Essential functions are fundamental job duties. They do not include marginal tasks, which are also performed but are incidental to the primary functions. The omission of specific statements of duties does not exclude them from the position if the work is similar, related or a logical assignment to the position, nor does every position allocated to the class necessarily perform every duty listed. Personal characteristics required of all employees such as honesty, industry, sobriety and the ability to get along with others, are presumed qualities and may not be listed specifically.Assists or develop new or modifies systems to be effective, logical, well structured and maintainable to solve identified problems.Analyzes systems with problems; identifies and corrects problems.Assists or establishes system functional requirements; with supervisory approval.Assists in producing accurate development plans and projects status and completion schedules.Develops manuals and written documentation to communicate system procedures.Analyzes, designs, codes, tests, debugs, maintains, documents, and implements programs and system.Reviews and submits recommendations for improvements to systems; and has the ability to implement.Provides written and oral review reports of activities to Supervisor, Deputies and/or Property Appraiser.Possesses current knowledge of standard language coding methods and operations requirements.Performs related duties as required.ESSENTIAL PHYSICAL SKILLS: Manual dexterity; requires sitting for extended periods of time; good vision, hearing and speaking skills in order to communicate; involves moderate lifting of over 20 pounds.ENVIRONMENTAL CONDITIONS: Exposure to noise associated with computer operating; exposure to electrical wiring and apparatusKNOWLEDGE OF: Microsoft Team Foundation Server, Microsoft Visual Studio, Client/Server Systems (Microsoft Server 2008R2 or higher), Microsoft SQL Server 2012 (or higher), .NET framework, C#, RPG, COBOL or JavaScript, and Windows Applications. Hardware and networking knowledge a plus.ABILITY TO: Follow technical design to develop program using the specifications and test and debug programs.SKILLS: Verbal and written communications; use application and operation of computer systems. Minimum Qualifications: ATTENTION:We do not accept resumes; therefore, RESUMES should not be submitted. To be considered, please complete the online application and upload your educational documentation (diploma, transcripts, etc.) and/or applicable certifications which are stated below in the minimum qualifications for the position. Failure to do so will result in your application being rejected.Bachelors degree or higher in Systems Science/Computer Science or related programming field and three years experience with major projects and data processing. Preference will be given to candidates with language experience in C#, JavaScript, HTML, CSS, XML, .NET and SQL.Note: A comparable amount of directly related experience and training MAY be substituted at the County's discretion for the minimum educational requirements if candidates are not available that fully meet the minimum requirements of the position as posted.Requires a valid driver licenses at the date of hire and maintain said license while employed in this position. Supplemental Information: Applicants must have at least the minimum educational documentation and/or certifications (requested within the job description) uploaded with their application to be eligible for consideration. Documentation may be uploaded at the time of application, scanned and emailed, faxed, or hand-delivered.Without proper documentation, your application will not be considered. If you have previously applied, you may log into your saved account to view your documents currently on file. Other than this announcement, no further notification will be sent.NOTE: The information given on your application will be evaluated against the minimum qualifications of the job description. After all applications are evaluated, your name will be placed on the employment list and sent to appropriate hiring authority for consideration.The online application and complete job descriptions can be viewed at www.santarosa.fl.gov Complete job descriptions may also be obtained at the Human Resources office located at 6495 Caroline Street, Suite H Milton, FL 32570.Candidates may be asked to demonstrate knowledge and skills related to the position during the interview process.A Drug Free Workplace/EQUAL OPPORTUNITY EMPLOYER /Veteran's Preference will be given in accordance with Florida Statutes."
"IT Helpdesk Analyst","Loop Recruiting","Indianapolis, IN 46262","We have partnered with THE hottest company in Indianapolis to hire entry level IT talent. We're hiring several Full-Time, IT Analysts. You'll get a great salary, be exposed to new technology, and work with Fortune 500 clients on a daily basis.This team is responsible for calls from external and internal customers seeking technical support. The types of technical products that we support are both hardware and software related and vary from client to client. We fully train all of our selected candidates to handle each type of call.Job Responsibilities:Responsible for providing the first-line of telephone technical support of hardware, systems, and software applications for customers and/or employees.Answers questions about installation, operation, configuration, customization, and usage of assigned products.Apply diagnostic techniques to identify problems, investigate causes and recommend and implement solutions to correct common failures.Provide remote support and trouble shoot issues with customers to resolve issues.Provide technical support for internal and external customers.Escalate complex problems to higher level of expertise within organization.Skills and Experience Needed:High School Diploma or GED required.Previous computer technical support experience preferred. A+, MCP, Dell or other industry identified certifications are preferred but not required.Successful candidates should possess technical skills in the following areas: PC hardware for workstations and laptops, Network troubleshooting, Windows operating systems, and applications such as Microsoft Office/Outlook products and Lotus Notes/ Smart Suite. MAC HW/SW skills also a plus.The ability to communicate effectively both written and oral is imperative, as well as efficient and accurate typing skills.Ability to provide an excellent customer service that results in high customer satisfactionCandidates should not only be able to troubleshoot, but be able to identify why a PC is performing a certain behavior.Technical Skills Needed:Active DirectoryMicrosoft Sharepoint ServicesMicrosoft ExchangeMicrosoft Office CommunicationMicrosoft Unified Communications"
"Software Design Engineer","Milwaukee Electronics","Milwaukee, WI 53209","Software Design Engineer Automation Controls Group (ACG) – a Division of Milwaukee Electronics Department:  Automation Controls Group (ACG)Reports To:  Product Architect of ACGSUMMARYThe Software Design Engineer will be responsible for the development, and testing software for our products. The candidate will work within a software/firmware center of excellence together with other team members driving new product and process development. Responsibilities will center on software development.ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned. Functioning as a team member in coding, testing, debugging and modifying embedded software to ensure conformance to design specifications Participating in the development of software requirements specifications, design documents, and software functional requirements Participating in software design and code reviews/inspections Provide time estimate for project schedules and resources requiredSUPERVISORY RESPONSIBILITIESThis job has no supervisory responsibilities.QUALIFICATIONS  General understanding and experience with C/C++ in an embedded environment General understanding of common microcontroller peripherals such as I2C, SPI, UART, etc. General understanding of software configuration management and build system knowledge Knowledge of Python, C#, and Jira is a plusEDUCATION and/or EXPERIENCE Bachelor's degree in Computer Science, Electrical Engineering, or related engineering discipline, or equivalent experience At least 2 years of software engineering experience Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States Strong work ethic and the ability to work well within a small team Excellent written and oral communication skills, along with the proven ability to interact with other disciplines outside of engineeringPHYSICAL DEMANDS While performing the duties of this position, employee is frequently required to sit; stand; walk; use hands to type, handle, or feel; and reach with hands and arms. Employee is occasionally required to stoop, kneel, or crouch. Employee must occasionally lift and/or move up to 20 pounds. Vision requirements include: close & distant vision, color vision, peripheral vision, depth perception, and the ability to adjust focus.The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.MILWAUKEE ELECTRONICS/ACG IS AN EQUAL OPPORTUNITY EMPLOYER Job Type: Full-timeSalary: $60,000.00 to $80,000.00 /yearExperience:relevant: 2 years (Required)Education:Bachelor's (Preferred)"
