"Title","Location","Company","Field4"
"Software Engineer","Cambridge, MA","Cogo Labs4.1","A big part of building successful companies is reaching the right audience. At Cogo Labs we build reliable, scalable, and customizable tool chains that allow our businesses to find and attract users who will become loyal customers. We are hiring a Software Engineer to contribute directly to critical growth initiatives and key systems that support our internal and external customers in our quest to build massive scale consumer internet companies. You'll work on cross-functional teams not only with different engineering disciplines, but from across the company to drive success under the direction of Project Owners, with mentors to guide you in your career development. Ownership and accountability are core to how we build successful teams and as a Software Engineer at Cogo you will enjoy a high degree of autonomy as we continue building some of Boston's fastest growing startups.How we work:Our core systems are written in Go, containerized using Docker, and managed using Kubernetes; we are obsessive about using Git to track not only our code, but also manage projects, prioritize user requests, and keep our work transparent across the company, all the way down to planning speakers for our various monthly meetings. We run our own state of the art compute and storage systems, managed by our Sysops team, and meshed with cloud services for maximum efficiency and flexibility. We favor Kafka for queuing solutions, high availability MySQL and ElasticSearch clusters for database needs, and Airflow for job and data pipeline orchestration. On the cloud side we make extensive use of Redshift, S3, Presto, and EMR services.We are big believers in sharing knowledge & expertise internally, with code reviews as standard practice and monthly engineering-focused meetings where we share learnings and best practices. Tech conferences such as DockerCon and GopherCon help us make sure we're leveraging the best the community has to offer, and our engineering teams love sharing and applying new developments that can accelerate growth.On your first day you should expect to:Be up and running on GitHub, TravisCI, Codecov, Sentry, and DockerStart looking at an existing code base and sketching out a plan of attack for your projectBegin learn about how our business works to add context to your day to day workGoing forward, expect to:Add new features to tools and services that support businesses under incubationStreamline existing processes that are painful or time consumingUpgrade existing systems to take advantage of new technologiesSupport analysts who use your tools in production workflowsBuild monitoring infrastructure that makes sure systems and campaigns are running smoothlyMaintain and improve existing libraries, APIs, and services that analyst teams and incubating companies depend on daily to grow their businessesThings that would help you succeed in this role:BA/BS in Computer Science requiredFluency with at least two programming languagesFamiliarity with SQL and database designWorking knowledge of HTML, Javascript and CSS.Experience working with macOS or Linux development toolsA desire to work with and solve problems related to the warehousing of large data setsAbility to thrive in an agile, team-oriented environmentAbout Cogo Labs:We're a venture accelerator - we employ data-driven, analytical methodologies to build profitable large-scale consumer internet businessesOur work is challenging and dynamic; our environment is fun and supportiveOur company is profitable and established - ""startup culture"" without ""startup anxiety""We offer competitive salaries and benefits, along with substantive participation in the success of the companies we incubateThe Cogo team is an interesting and diverse group with passions and hobbies outside of work - we are musicians, athletes, filmmakers, gamers, authors, beer brewers, and whatever you are!"
"Software Engineer","Washington, DC","Aerial Applications4.3","About Aerial ApplicationsAerial Applications is a software company that uses drones and artificial intelligence to create maps that provide real-time situational intelligence to first responders. Our goal is to create the software backbone for fully autonomous mobile systems operating as machine constituents in the future of work.If you love the idea of working in an emerging field with cutting edge technology and solving massive problems, this is a great company for you. About the positionAerial Applications is seeking full time software engineers. Our projects are highly dynamic, and we expect all engineers to be adaptive problem solvers, capable of working cross functionally throughout the stack. You will get to develop entirely new projects as well as build on top of our existing stack.Above all else, you should be coachable, willing to learn, and constantly seeking to grow your skills. You should be familiar with popular libraries like Angular, Express, Node, and Azure services. You should have a general sense of computer vision problems and be able to work with machine learning visual recognition use cases. You should be comfortable working with source control tools (Gitlab), documenting your work, and performing QA.We are a rapidly growing company. There will be plenty of opportunities for career development as you grow with us.Personality soughtYou take pride in your craft, knowing that your professional work reflects your inner discipline and commitment to excellence.You are able to work in a team environment. You don’t have a problem going heads down to complete your tasks, but you also know when to ask for help with a difficult problem. RequiredUndergraduate degree in computer science, or equivalentUS Citizenship. PreferredMaster’s degree in CSYou have a demonstrated track record of excellence in a professional and academic capacity. You have worked with GIS or mapping applications in the past. BonusYou have 3+ years of working in software engineering, and can demonstrate best practices for project management, quality control, and product development.You can easily work cross functionally through front end, back end, and AI based projects. CompensationSalary commensurate with experience.Bonus for attaining company goals.Benefits include health insurance, paid parking, weekly office lunch About our Hiring ProcessAfter submitting a resume, example of past work, and cover letter, applicants will be sent a standardized aptitude test from Caliper Corp. From there, successful applicants will be interviewed via phone, and then invited to an in-person interview. There is also a technical aptitude test. Our selection committee will then extend an offer to the most qualified applicant. Aerial Applications accepts less than 1% of all applicants."
"Full-Stack .NET Software Engineer","Layton, UT","AdvisorPeak, Inc.","AdvisorPeak, Inc. was founded by former investment advisors and wealth management industry veterans with the vision of bringing innovative software to the financial services industry. We create trading software to help advisors across the country manage and trade their client accounts. We keep our work environment fun, relaxed, and flexible with your real life. Every team member plays an integral part in building and maintaining that culture.  ROLE DESCRIPTION  Our development team collaborates to create software to meet the trading needs of investment advisors. Your position will be part of a team that is creating the next generation of our software, as well as supporting and maintaining the existing version of the software.  KEY RESPONSIBILITIES  ·  Write, test, deploy, and support new and existing systems  ·  Accelerate the development of AdvisorPeak’s platform  ·  Expand AdvisorPeak’s APIs  ·  Work with minimal supervision as part of a small team  ·  Manage your time well  EDUCATION AND EXPERIENCE  ·  Degree in computer science, software engineering, or related studies preferred.  ·  4+ years of experience developing enterprise level applications utilizing C#, SQL, HTML, Javascript, CSS, etc.  ·  Experience with modern JavaScript frameworks such as AngularJS, Vue, React, etc.  ·  Experience with MSSQL.  ·  Experience developing & deploying in an agile environment.  ·  Comfortable working with Git and Github.  KNOWLEDGE, SKILLS AND ABILITIES  ·  Willingness to learn new development technologies, strategies and tools with an open mindset. If you have religious feelings about programming languages or tools, we're not the company for you.  ·  Works well with a small, close-knit team.  ·  Not afraid to tackle problems that are difficult.  ·  Self-manager– we're not big on bureaucracy; we don't micromanage but hold each other accountable as a team.  ·  Technical leadership – ability to lead other developers, drive the product and team forward.  ·  Ability to own what you are building and see it through from end to end.  ·  Designing web service API's.  JOB REQUIREMENTS  ·  As we work with sensitive financial information, you must pass a criminal background check.  ·  Must be local to Utah and willing to work in our Layton office.  COMPENSATION & BENEFITS  ·  Competitive market salary based on experience  ·  Benefits package that include 100% health, dental, vision, life insurance and LTD for employee  ·  401k Plan  ·  Paid Holidays and unlimited time off program  ·  Flexible dress code  ·  Dog friendly office  ·  Stock options available  ·  Startup environment"
"Software Developer","Monterey, CA","Rolands & Associates","Modeling and Simulation Software EngineerImmediate opening. This is a full time position. Salary is commensurate with experience and education.ResponsibilitiesDevelop software for simulationsTest software to identify shortfallsAuthor and implement software designsIdentify, fix, and document issues in softwareMeet with clients and determine their requirementsInstall software at client sitesSupport classified US training eventsStaff the software “help desk” to assist clients in troubleshooting and other issuesAssist clients in the use of our software, on site or remotelyExperience RequirementsBachelor’s degree, or greater, in technical areas such as computer science, engineering, mathematics, statistics, or Modeling and Simulation. Experience may be substituted for education.At least one year of experience in the following areas:Java, C++, C, or Python software development.Linux operating system use and proficiency.Developing, executing and documenting software tests.Integrating multiple software modules to complete a project.Creating detailed user documentation for software.Conditions of EmploymentAppointment is subject to suitability as determined by a background investigation.Must be able to obtain and maintain a US Government Non-Critical Sensitive Secret security clearance.Obtaining a U.S. passport is requiredWe are a small company hiring in the Monterey Bay Area, we are not looking to relocate a potential employee."
"Software Engineer","Carmel, IN","Seven Corners4.1","Job Title: Software Engineer About Us:We were founded in 1993 on the simple belief that we solve the insurance industrys most challenging problems with innovative solutions and extraordinary service. We have proven it.As one of the leading international travel insurance and specialty benefit management companies in the world, we service over 800,000 customers each year including international travelers, US government agencies, corporations, foreign governments and insurance companies.With a diverse and growing global workforce of the best and brightest talent, Seven Corners is a fast paced, innovative company with no plans to slow down soon.Our values drive each decision we make and each action we take. They are our guide for how we treat each other and our customers. These beliefs are the heart of the company culture and define what it means to work at Seven Corners. Our Culture:Our culture is what makes us, us it is the unique vibe you feel when you walk through our doors, the passion we bring to creating innovative solutions and the extra mile we go to put our customers first. It is a way of feeling and behaving toward each other and our customers. It is the values we hold to be true. It is in every decision we make and every action we take. Our Values:Customers Come FirstWe InnovateWe do the Right ThingWe own the SolutionWe are PreciseWhat you would do here:As our highly motivated full-stack Software Engineer, you will work on an agile team delivering value at every increment to our customers and internal team members. Within this position you will be required to thoroughly understand modern software development techniques (TDD, CI/CD, pair & mob programming) and working on an agile team. You must also show the capacity to work in a fast-paced and innovative software development environment. You will develop and manage effective working relationships with other departments and personnel to co-develop our software solutions. To be effective, you must be self-motivated and work well in a team as well as independently.What you already know and have done:	Work within an agile team to design, implement, and deliver value at a regular interval Work daily with our business partners to understand their need and co-develop a solution Design and develop web applications, mobile apps, and other cloud-based solutions Design, develop, and work with RESTful APIs Write unit, integration, and automated tests Review code written by your team members Utilize continuous integration to ensure high quality code is being delivered Use both pair and mob programming approaches Participate in sprint planning, daily stand-ups, and sprint review meetings Support the solutions we produce Participate in blame-less post mortem to learn from our mistakes Participate in focus groups (Monitoring & Performance, Environment management, Cloud stuff, Build/Release management, and Change Management) Continue to further your education by acquiring certificates to learn and stay current on technology, best practices, and software development methodologies. Ideally you have:	Highly collaborative team player mindset we win or fail together Dedication to developing quality software quality is everyones responsibility Passion we call it GAF (geek after five) Maybe its IoT, crafting, wood-working, birding, family, running; whatever it ishave a passion or more than one Learning and continuous improvement we all have some growing to do Communication skills we are in constant communication whether its in person or remotely Bachelors Degree in computer science, computer technology, etc. or equivalent work experience Development skills using Microsoft-based technologies including REACT, C#, SQL Server, Visual Studio, Entity Framework, various .NET frameworks, LINQ, ASP.NET, MVC, SSRS, PowerBI, Azure DevOps, Xamarin Other notable skills include Git, JavaScript, TypeScript, HTML, CSS, Angular, Sitefinity, Salesforce Ability to resolve complex technical problems Positive interpersonal and communication skills, including the ability to listen, ask probing questions and ensure accurate understanding of the need Seven Corners hires for culture fit over technical skills and experience. If you have the aptitude and attitude, we can help you grow your career through training, mentoring, increasing responsibility, and being around other rock star employees.Learn more at https://www.sevencorners.com/corp/careersSeven Corners, Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, age, status as a protected veteran, among other things, or status as a qualified individual with disability."
"Software Engineer","Niles, IL","Shure Incorporated3.9","Great software opportunity to impact Shure products at production level!  We are are growing our Software Engineer team and looking for talented programmers to assist in the development and implementation of the software systems that test the functionality of Shure products in all global production facilities. This role will expose you to the complex life-cycle of award winning audio products.Contributes to the design and implementation of new software used in production test programs and test executive.Creates new software test capabilities using off-the-shelf solutions or software-defined test instrumentation.Assists in the implementation and maintenance of software used to analyze and report production test data.Addresses and resolves software system issues.Performs operating system and network maintenance and troubleshooting procedures.Tests and verifies software updates.Engages and contributes to software reviews.Performs and maintains software system alignment across a global infrastructure.Bachelor’s degree in Computer Science, Software Engineering, Computer Engineering, or a closely related field.Working knowledge of Object Orientated programming principlesBasic competency of the C# programming languageBasic competency of Web-based software (HTML, CSS, JavaScript)Basic competency with database architecture and designBasic competency of .NET framework and Microsoft Visual Studio IDEBasic competency with the Windows/Windows Server Operating SystemsAdditional desirable experience and competencies:Software instrumentation or driver developmentSource control software such as Subversion or GITSQL and PHPEmbedded systems programmingStrong troubleshooting and analytical skills.Strong written and verbal communication skills."
"Sales Engineer","Mount Crawford, VA","Power Monitors3.3","Power Monitors, Inc. is seeking a Sales Engineer. In this role, the sales engineer will be responsible for supporting existing Power Quality sales and reaching out to customers to sell our products. Location can be a home based office out of any major citiy in the US. Responsibilities:Reaching out to customers to sell our productsSupport existing customer baseDeliver content and training to customers on siteRespond to customer product inquiries via telephone and/or emailDevelop relationships utilizing an outgoing personality and a passion for problem solvingWork directly with PMI Engineering to address highly complex technical issues with a customer focused perspectiveFrequent overnight travel Education:Bachelor of Science degree in Electrical Engineering Experience:Prior sales and customer service experience with Electric Power instrumentation Familiarity with the Electric Utility industry Preferred:Experience with CRMPMI was featured on the Discovery Channel Innovations show. Click here to access the link: http://info.powermonitors.com/promo-powermonitors-videoPower Monitors, Inc. is the leading manufacturer of power quality analyzers and wireless power quality test equipment for residential, commercial, retail, institutional, industrial, and substation applications. We provide a wide range of services including 24/7 Tech Support, industry-leading power quality training, and a robust line of compact, wireless power quality test equipment and software. With a commitment to fantastic customer service, we have been helping electrical utilities and their customers detect, measure, and remediate power quality issues worldwide since 1987.Power Monitors, Inc. is growing rapidly and we want YOU to join our team! We are the industry leaders in the design, development, and manufacture of the best power quality tools available to electrical professionals worldwide! We are located in the Shenandoah Valley, just south of Harrisonburg, VA in Mt. Crawford, Virginia.Company Benefit Plan includes:Medical InsuranceHealth Savings AccountDental InsuranceSupplemental InsuranceEmployer paid Life InsurancePaid Leave401(k) Retirement plan with Company matchEducation ReimbursementPower Monitors, Inc. is an Equal Opportunity Employer"
"Software Engineer","Phoenix, AZ","Integrate4.2","Integrate is a rapidly growing, venture-backed enterprise SaaS business that helps B2B marketers grow revenue and reduce costs. We unify demand marketing channels into a single, powerful platform that help organizations achieve quantifiable business outcomes.  We have a top-tier client list that includes Dell, Cisco, Salesforce, VMWare, Rackspace, Microsoft and more. Our name defines our purpose. We believe in a better and more efficient world for B2B marketers.  Quick Hits: - 9+ Years Old- 250+ Employees- $80M in Funding- Enterprise Marketing Technology At Integrate, we are a technology company that leads with a technology-first mentality. We use cutting edge tools and take pride in staying ahead of the curve. It is extremely important to us that our engineering teams not only feel that they are doing what they are passionate about, but they are expanding skill sets as well. Our Stack:Languages: C#, .Net Core, Golang, AngularJSTools: React.JS, Visual Studio, PyCharm, Git (GitHub), JIRA/ConfluenceTechnologies: MongoDB, Redis, RabbitMQ, gRPC, ProtobufConcepts: RPC, REST, AMQP, Concurrent Design, AWS, SCRUM, AgileEnvironment: Linux/Docker (CENTOS) With our exciting growth, we are looking for a “quality- centric” software engineer who can not only develop cutting edge enterprise technology but has the ability to own the quality and test automation of their work as well. What You'll Do:Work closely with our product team to translate raw business requirements into rock solid technical solutions.Create high-speed, cloud-based web applications.Test code and services at the user level with automated tools and scripts.Work with Product, Design and Customer Support teams to understand customer usage and develop test plans and suites that approximate real-world environments.Research and recommend technologies that address technical and business requirements.Provide technical leadership and guidance to the team. Participate in all areas of the SCRUM process. Own projects from inception to production and provide clear communication to product and business teams. What You Offer:3+ years product development within SaaS.3+ years of experience with content delivery and web tracking in a production context.Expertise with concurrent design in a distributed environment.Full stack development (not necessary but preferred).Logic, reason and an unyielding ability to push for the best experience for the customer.Ability to analyze epics/stories, raise questions, seek resolution and clarification required for test case identification.Experience performing testing on applications that use AngularJS UI, API’s and No SQL database (MongoDB) or something similar (not required).Experience automating in Visual Studio Code or similar IDE, coding in TypeScript or JavaScript.Strong knowledge of Jira. Experience with Zephyr, or similar test management tools. Passion for automation framework.Integrate In The News:Integrate Named Top Tech Startup in PhoenixIntegrate Acquires AkkrooIntegrate Acquires ListenLoopWhy Four MarTech CEO's Bet Big on Integrate"
"Software Engineer","Santa Monica, CA","TenantBase4.7","TenantBase is a technology enabled commercial real estate brokerage. We make the office search and lease process easy and delightful by combining technology with our experienced local real estate advisors at no cost to the the customer.Information is more private and controlled in commercial real estate markets compared to residential markets, which is why commercial real estate has resisted innovation. Finding an office space can be a time consuming and frustrating process, particularly for small businesses because existing brokerages haven’t invested in the technology to support smaller tenants, and have remained focused on their larger, existing clients.Our mission is to help businesses find the perfect space for their needs by developing products for our clients and local advisors. Build, test, and ship new user facing products using Python, Django, and Postgres. Collaborate with a nimble team of senior engineers, designers, and real estate professionals to turn product and technical vision into a tangible roadmap. Make sound architectural decisions and deliver entire new features that delight users.Requirements You’re comfortable working full-stack, and can dive into the front-end, back-end, or data infrastructure as needed. You write high quality, well tested code. You’re comfortable in a startup environment.Nice to HaveA link to your GitHub profile, or a blog post demonstrating anything you've built. It doesn’t have to be fancy! We prefer to evaluate code samples instead of extensive technical interviews.Experience with cloud providers is a major plus.Benefits Competitive salary and meaningful equity Comprehensive medical, dental, vision, and vision benefits Flexible work schedule and paid time off"
"Software Engineer","Fishers, IN","Flexware Innovation4.5","WHAT FLEXWARE DOESFlexware Innovation is a leading technology integrator who helps forward thinkers in manufacturing and related industries build comprehensive and long-lasting solutions with ease.Founded in 1996, Flexware continues to help companies leverage technology to solve real business problems. Flexware has teams of engineers focused on industrial controls, manufacturing systems integration, software development, business intelligence, and Internet of Things (IoT) devices. Our passion is helping our customers build solutions that stand the test of time by creating solid architecture and helping customers avoid costly design mistakes.WHAT YOU WILL DOYou will be working on Flexwares Products Team helping to build long-lasting solutions. This role will build IoT products for our partners. You will be responsible for developing product services, APIs, and user interfaces that are hosted in the cloud (Azure and AWS). There will be work on platforms that are mature, as well as some ground-up development. You will be challenged to come up with innovative solutions that will free our customers to focus on what they do best. Develop product features in C#, JavaScript, and relational databases such as Microsoft SQL ServerCreate web APIs to provide access to data and core featuresDesign and build UI/UX using JavaScript libraries such as React, D3, and othersSecure all components by leveraging standards such as OAuthWork in different cloud platforms such as Microsoft Azure and Amazon Web Services (AWS)Flexware is looking for an individual that is willing to step in where necessary. We are looking for someone that is not afraid to get their hands dirty and be of service to others.**Please note that we are not interviewing candidates that require sponsorship now or in the future**WHAT YOU MIGHT HAVE DONE BEFOREFlexdogs are a rare breed of engineers. They come from varied backgrounds but typically have some of the following traits: Received a technical Bachelors degree such as Computer Science, Computer Engineering, Computer Technology, Computer Information Technology, or similar technical degreeHave several years of experience (5+) working in a professional environment with modern architecturesExpertise in all aspects of cloud services of either Microsoft Azure or AWS (5+ years)Worked in a team environment collaborating on solutions and assisting in other areas where neededFLEXWARES CORE PURPOSE AND BELIEFSFlexwares purpose is to unleash the potential of technology, freeing people to focus on whats next.Our internal promise to our Flexdogs is to have an impact on you and your family by creating a healthy and engaging work environment. We believe to be a Flexdog you live out our four core values in your personal and professional life.Flexware offers a competitive salary, benefits package, and a semi-annual profit-sharing bonus. Our environment is fun, family-friendly, energetic and was nominated for TechPoints Mira Award for Company Culture of the Year in 2017, and nominated for 4 awards from Powerderkeg's 2019 Indiana Breakout Tech Culture Awards.Flexware has two Indiana-based offices located in Fishers and Valparaiso. As our business continues to grow, we are building a new headquarters building in the Nickel Plate District of downtown Fishers.If youre interested in becoming a Flexdog, lets have a conversation! Please reach out to Matt Heiden at matt.heiden@flexwareinnovation.com. Your inquiry and conversation will be treated with confidentiality and we will not share your information with others. We look forward to speaking with you!"
