Title,Location,Company,Description
Software Engineer - New Grad 2020 (Quip),"San Francisco, CA","Salesforce
4.3","Our goal at Quip is to build a new class of productivity tool that every person at every company enjoys using every single day. What we're looking for: a software engineering generalist who's passionate and cares deeply about product development.

At Quip, our engineers are always learning new things - we all work cross-platform and full-stack. We pride ourselves on writing high-quality code and maintainable systems that make our lives easier, across Javascript, C++, Python, Java, and Objective-C. Every engineer works on exciting, meaningful projects that impact our technical and product strategy.

We work closely with Product Managers and Designers to define new features, and help map the future of Quip. We're building the next generation of products leveraging frameworks, such as React, and tackling complex problems related to large-scale backend infrastructure and mobile platforms. We're building a team of talented, thoughtful people who will work together to build an enduring company that will change the way teams work together.

What we look for:
Passion with learning and working with others to improve yourself, the team, the product, the company
Ability to learn quickly or know one of Python, Objective-C, Javascript, SQL, C++, Java
Experience with web applications, databases, distributed systems, or mobile development is a plus
BS and/or MS degree in computer science, math, or a related technical field
Bonus: Past relevant tech internship experience
What youâ€™ll do:
Building consumer-level applications (mobile, web, desktop) for enterprise - with a focus on design and usability
Solving complex challenges such as performance, scalability, and security
Growing and scaling our product and servers, applying the latest technologies and best practices
Mentoring your peers or be mentored by your peers in various in-house mentorship
Learn to make great and not so great puns
Posting Statement
Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Headhunters and recruitment agencies may not submit resumes/CVs through this Web site or directly to managers. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay fees to any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org.
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
Full-stack Software Engineer,"San Francisco, CA","Mavenlink
4.6","Mavenlink is looking for talented software developers to join our San Francisco office. We have a great team solving challenges brought by growth & success. You'll step into a supportive environment praised by our engineers for its focus on continuous learning.

Heres how our engineering culture will support your career growth:

Pair Programming
We work twice as fast and produce better code because, with two minds working together, you find solutions you wouldnt have seen if you were working by yourself.
Amanda Holl, Software Engineer
Continuous Learning
I dont just want to learn so I can be the best, I want to learn so I can teach the people sitting next to meso we can all grow.
Adam Ellsworth, Software Engineer

Coaching and Mentorships
""Every engineer here has a 'coach' - an active, practicing engineer providing mentorship and support to help their 'coachees' grow their careers.""
Andy Leavitt, Director of Engineering

Open Communication
We teach team members how to give and receive feedback. I feel like the things I say are heard and acted on, and I have an opportunity to act on them myself.
Paulette Luftig, Software Engineer

Full-stack development
We have open architecture meetings that everyone is invited to, which we can do because everyone is full stack, and we all know how the pieces fit together. There are very few blind spots this way.
Maggie Sheldon, Senior Director of Product

As our product and customer base grow, were seeing interesting technical challenges. Weve recently finished:
Moving from Sprockets to Webpack/Yarn
Real-time streaming of all database events to time-sensitive application systems
Automated containerized staging deployment of every green developer build
Upcoming challenges include:
Developing a rich & sophisticated React component architecture
Evolution from a single Rails app to cohesive, decoupled services
Auto-scaled, self-healing production Kubernetes
Joining Mavenlink, well guide you toward the challenges that interest you.

Skills & Requirements
Though we will eventually re-open our recruiting to early-career candidates, at this time we're only considering candidates with 2+ years of experience.

Experience in our stack is not a requirement.

We value empathy, communication, and care for our colleagues."
"Generalist Software Engineer, New Grad","San Francisco, CA","LiveRamp
4.5","LiveRamp is looking for new graduates that crave challenges and seek out dynamic experiences and to jump right in and be fast-tracked onto a team that is the best fit for your skills and interests. Here at LiveRamp, we're changing the world of data connectivity. Our technology unites the marketing technology ecosystem, enabling brands to measure the impact of digital marketing on sales and deliver highly relevant messages to consumers on virtually any channel or device.

As a Software Generalist you will help bring this vision to life by tackling your projects head on. It's hard to say what tomorrow's challenge may be, but in this role, you'll be happy to hack away at it, whether it's a Ruby on Rails web application, a distributed analysis Hadoop workflow in java, or something completely new. You'll also collaborate with other engineers to execute on a diverse range of projects.

On the engineering team at LiveRamp, we value ownership and individual contribution within a collaborative environment. Be ready to leave your ego at the door, roll up your sleeves and start solving huge challenges as soon as you begin.

You will:
Design and build sophisticated systems to process and visualize massive amounts of data.
Make mistakes. Fix them; learn from them; make different ones next time.
Be at the forefront of technology innovation. Keep LiveRamp on the cutting edge of industry tools and best practices.
Push your teammates to become stronger engineers. They will do the same for you.
Take our engineering, business development, and culture in a whole new direction during one of our four Hackweeks every year.
About you:
Excited by the idea of building scalable and reliable products.
A talented new grad and looking to start a full time role in Summer 2020.
Comfortable working in multiple languages, frameworks, and environments.
Desire to work in San Francisco. We will relocate you if necessary.
Possess a startup personality: smart, ethical, friendly, hard-working and productive.
A data enthusiast who wants to be surrounded by brilliant teammates and huge challenges.
Benefits:
People. Work with talented, collaborative, and friendly people who love what they do.
Stock
Unlimited paid time off
One-of-a-kind mentorship
Competitive Medical, dental, & vision insurance
401K Matching
Employee Stock Purchase Plan (ESPP)
Commuter benefits
Catered meals & stocked kitchen
Events including games nights, happy hours, camping trips and sporting leagues
More about us:

LiveRamp provides the identity resolution services and integrations that are the foundation for omnichannel marketing. Our services transform the technology platforms used by our customers into people-based marketing channels that improve the relevancy of marketing, and ultimately allow consumers to better connect with the brands and products they love.

We thrive on mind-bending technical challenges and value entrepreneurship, humility, and constant personal growth. There is so much more that we want to build and that we could continue to improve. We value strong engineers who are agile enough to hit the ground running and tackle challenges.

LiveRamp is an affirmative action and equal opportunity employer (AA/EOE/W/M/Vet/Disabled) and does not discriminate in recruiting, hiring, training, promotion or other employment of associates or the awarding of subcontracts because of a person's race, color, sex, age, religion, national origin, protected veteran, disability, sexual orientation, gender identity, genetics or other protected status. Qualified applicants with arrest and conviction records will be considered for the position in accordance with the San Francisco Fair Chance Ordinance."
"Software Engineer, Backend","San Francisco, CA","HOVER
5.0","HOVER is transforming the home improvement market and helping people visualize what's possible with interactive 3D property models and we're looking for skilled Ruby on Rails developers to join our San Francisco team! We're working hard to enable homeowners, contractors, and insurance professionals all use HOVER to get fully measured, accurate, and interactive models of any propertyâ€”in a matter of minutes, and with just a few snaps of a smartphone camera.

The Role

We are looking for a RoR Engineer who has good knowledge of the framework and hands-on experience developing web apps and backend services. We're a small but growing group of engineers, so beyond the prerequisite technical ability, we're looking for someone with exceptional initiative, curiosity, passion for learning, and a love for pushing the envelope while building high quality, scalable and extensible products.

Like all engineering roles at HOVER, this is a cross-functional role at its core which allows for multiple opportunities for mentorship, learning, and growth. You will join as a member of our backend engineering team and also work in coordination with other engineering teams (frontend, graphics, automation, mobile), and non-engineering teams (product, design) in an agile development environment.

What you will be doing

You will write clean, tested and documented code, and stay at the cutting edge of your discipline through communication, collaboration, and mentorship opportunities (including code reviews and occasional pair programming). Among other things, you will be building new features in our product, integrating image processing, 3D rendering and machine learning code, and optimizing it against one of the world's biggest datasets of residential property imagery.

What we expect from you
Current experience (1+ years) architecting and building reliable, scalable, maintainable Ruby on Rails applications
Experience with the usual suspects (rspec, git, PostgreSQL, Redis)
Comfortable on a bash shell and SQL console
Excellent problem-solving skills
Nice to have
Full stack experience (HTML/CSS, Javascript, JS Frameworks)
AWS ecosystem experience
Docker (or other container technology)
Agile/Scrum experience
Geometry/Linear Algebra
Why HOVER

Come join a small team that works hard, thinks big, and loves to celebrate our wins. We are backed by a team of investors who are committed to empowering our success, and we are excited to keep improving our product and growing our team. At HOVER, we believe there is real strength in diversity, and we're fostering an inclusive and diverse culture by hiring qualified, talented people from a wide variety of backgrounds.

Benefits
Compensation - Competitive salary and meaningful equity in fast-growing company
Healthcare - Comprehensive medical, dental, and vision coverage for you and dependents
Paid Time Off - Unlimited and flexible vacation policy
Learning - We encourage continued education and will help cover the cost of conferences, workshops, or certifications
Transportation - Pre-tax commuter benefits and free parking"
Software Engineer,"Oakland, CA","Babylist
4.2","The Babylist engineering culture is one of learning and knowledge sharing. We are passionate about experimentation, automation and shipping value to our customers. Our stack is based on Ruby on Rails and React. We continue to expand our toolbox to use the best technologies for the job.
Who You Are
You have a track record of implementing systems that can adapt to new business requirements
You are familiar with domain experience in web technologies and e-commerce
You understand testing, monitoring and running a production software system
You are able to develop an architecture with a team
You are passionate about using your engineering experience to quickly define and implement systems and features that provide value to our customers
You value collaboration and working with a strong team and are excited to support your team and pleased when they support you

We like systems that run well, but when things don't go as planned we support each other
What You'll Do
Work closely with product owners to designing, implementing and deploying systems to support and scale our growing e-commerce, content and fulfillment operations
Provide input around process, tooling and systems; we benefit by more knowledge and learning how others solve problems
Improve and help maintain existing systems; friction in the development process slows us down and has a large opportunity cost
Take time to create maintainable systems and remove hurdles from the development process
Work on a close, supportive team solving real world problems and making decisions
Maintain older systems and replace them safely
Learn and growing as an engineer
What You've Done
2+ years of engineering experience with a proven track record of building consumer web applications or services
Fluency in at least one of Ruby, Javascript, Python, or another modern programming language
Demonstrated understanding of CS fundamentals
Designed and implemented scalable web services
Experience with React/Redux a plus
About Babylist

At Babylist, we help expecting parents get exactly what they need for the arrival of their new baby. We have a large and rapidly growing user base of passionate parents-to-be who are making important purchasing decisions for one of the biggest events in their lives, which is both exciting and overwhelming. Our core product is our universal baby registry. Currently 25% of first-time expecting families in the United States actually create a baby registry at Babylist.com. In 2019 over $300 million worth of gifts will be purchased off of Babylist registries.

Why You Will Love Working at Babylist:

â€¢ We get stuff done
â€¢ We have a real impact on peopleâ€™s lives
â€¢ We're passionate about our users and we genuinely appreciate them
â€¢ We work at a sustainable pace for long-term success (yes, weâ€™re profitable)
â€¢ We are growing and have meaningful opportunities for career advancement
â€¢ Weâ€™re a technological and data-driven business
â€¢ We believe in autonomy and reward taking initiative
â€¢ We have experienced leadership that is always open to new ideas

Benefits:

â€¢ Competitive pay
â€¢ Competitive health benefits including company-funded medical, dental, and vision
â€¢ 401(k), FSA plans, and disability insurance
â€¢ Easy access to BART and commuter assistance
â€¢ Flexible, paid parental leave policy
â€¢ We work at a sustainable pace; in general we don't work late or on weekends, and most employees WFH on Wednesdays

If your experience is close to what weâ€™re looking for, please consider applying. Experience comes in many forms â€“ skills are transferable, and passion goes a long way. We know that diversity makes for the best problem-solving and creative thinking, which is why weâ€™re dedicated to adding new perspectives to the team and encourage everyone to apply."
Software Engineer - New Grad 2020 (Quip),"San Francisco, CA","Salesforce
4.3","Our goal at Quip is to build a new class of productivity tool that every person at every company enjoys using every single day. What we're looking for: a software engineering generalist who's passionate and cares deeply about product development.

At Quip, our engineers are always learning new things - we all work cross-platform and full-stack. We pride ourselves on writing high-quality code and maintainable systems that make our lives easier, across Javascript, C++, Python, Java, and Objective-C. Every engineer works on exciting, meaningful projects that impact our technical and product strategy.

We work closely with Product Managers and Designers to define new features, and help map the future of Quip. We're building the next generation of products leveraging frameworks, such as React, and tackling complex problems related to large-scale backend infrastructure and mobile platforms. We're building a team of talented, thoughtful people who will work together to build an enduring company that will change the way teams work together.

What we look for:
Passion with learning and working with others to improve yourself, the team, the product, the company
Ability to learn quickly or know one of Python, Objective-C, Javascript, SQL, C++, Java
Experience with web applications, databases, distributed systems, or mobile development is a plus
BS and/or MS degree in computer science, math, or a related technical field
Bonus: Past relevant tech internship experience
What you’ll do:
Building consumer-level applications (mobile, web, desktop) for enterprise - with a focus on design and usability
Solving complex challenges such as performance, scalability, and security
Growing and scaling our product and servers, applying the latest technologies and best practices
Mentoring your peers or be mentored by your peers in various in-house mentorship
Learn to make great and not so great puns
Posting Statement
Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Headhunters and recruitment agencies may not submit resumes/CVs through this Web site or directly to managers. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay fees to any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org.
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
Full-stack Software Engineer,"San Francisco, CA","Mavenlink
4.6","Mavenlink is looking for talented software developers to join our San Francisco office. We have a great team solving challenges brought by growth & success. You'll step into a supportive environment praised by our engineers for its focus on continuous learning.

Heres how our engineering culture will support your career growth:

Pair Programming
We work twice as fast and produce better code because, with two minds working together, you find solutions you wouldnt have seen if you were working by yourself.
Amanda Holl, Software Engineer
Continuous Learning
I dont just want to learn so I can be the best, I want to learn so I can teach the people sitting next to meso we can all grow.
Adam Ellsworth, Software Engineer

Coaching and Mentorships
""Every engineer here has a 'coach' - an active, practicing engineer providing mentorship and support to help their 'coachees' grow their careers.""
Andy Leavitt, Director of Engineering

Open Communication
We teach team members how to give and receive feedback. I feel like the things I say are heard and acted on, and I have an opportunity to act on them myself.
Paulette Luftig, Software Engineer

Full-stack development
We have open architecture meetings that everyone is invited to, which we can do because everyone is full stack, and we all know how the pieces fit together. There are very few blind spots this way.
Maggie Sheldon, Senior Director of Product

As our product and customer base grow, were seeing interesting technical challenges. Weve recently finished:
Moving from Sprockets to Webpack/Yarn
Real-time streaming of all database events to time-sensitive application systems
Automated containerized staging deployment of every green developer build
Upcoming challenges include:
Developing a rich & sophisticated React component architecture
Evolution from a single Rails app to cohesive, decoupled services
Auto-scaled, self-healing production Kubernetes
Joining Mavenlink, well guide you toward the challenges that interest you.

Skills & Requirements
Though we will eventually re-open our recruiting to early-career candidates, at this time we're only considering candidates with 2+ years of experience.

Experience in our stack is not a requirement.

We value empathy, communication, and care for our colleagues."
"Generalist Software Engineer, New Grad","San Francisco, CA","LiveRamp
4.5","LiveRamp is looking for new graduates that crave challenges and seek out dynamic experiences and to jump right in and be fast-tracked onto a team that is the best fit for your skills and interests. Here at LiveRamp, we're changing the world of data connectivity. Our technology unites the marketing technology ecosystem, enabling brands to measure the impact of digital marketing on sales and deliver highly relevant messages to consumers on virtually any channel or device.

As a Software Generalist you will help bring this vision to life by tackling your projects head on. It's hard to say what tomorrow's challenge may be, but in this role, you'll be happy to hack away at it, whether it's a Ruby on Rails web application, a distributed analysis Hadoop workflow in java, or something completely new. You'll also collaborate with other engineers to execute on a diverse range of projects.

On the engineering team at LiveRamp, we value ownership and individual contribution within a collaborative environment. Be ready to leave your ego at the door, roll up your sleeves and start solving huge challenges as soon as you begin.

You will:
Design and build sophisticated systems to process and visualize massive amounts of data.
Make mistakes. Fix them; learn from them; make different ones next time.
Be at the forefront of technology innovation. Keep LiveRamp on the cutting edge of industry tools and best practices.
Push your teammates to become stronger engineers. They will do the same for you.
Take our engineering, business development, and culture in a whole new direction during one of our four Hackweeks every year.
About you:
Excited by the idea of building scalable and reliable products.
A talented new grad and looking to start a full time role in Summer 2020.
Comfortable working in multiple languages, frameworks, and environments.
Desire to work in San Francisco. We will relocate you if necessary.
Possess a startup personality: smart, ethical, friendly, hard-working and productive.
A data enthusiast who wants to be surrounded by brilliant teammates and huge challenges.
Benefits:
People. Work with talented, collaborative, and friendly people who love what they do.
Stock
Unlimited paid time off
One-of-a-kind mentorship
Competitive Medical, dental, & vision insurance
401K Matching
Employee Stock Purchase Plan (ESPP)
Commuter benefits
Catered meals & stocked kitchen
Events including games nights, happy hours, camping trips and sporting leagues
More about us:

LiveRamp provides the identity resolution services and integrations that are the foundation for omnichannel marketing. Our services transform the technology platforms used by our customers into people-based marketing channels that improve the relevancy of marketing, and ultimately allow consumers to better connect with the brands and products they love.

We thrive on mind-bending technical challenges and value entrepreneurship, humility, and constant personal growth. There is so much more that we want to build and that we could continue to improve. We value strong engineers who are agile enough to hit the ground running and tackle challenges.

LiveRamp is an affirmative action and equal opportunity employer (AA/EOE/W/M/Vet/Disabled) and does not discriminate in recruiting, hiring, training, promotion or other employment of associates or the awarding of subcontracts because of a person's race, color, sex, age, religion, national origin, protected veteran, disability, sexual orientation, gender identity, genetics or other protected status. Qualified applicants with arrest and conviction records will be considered for the position in accordance with the San Francisco Fair Chance Ordinance."
"Software Engineer, Backend","San Francisco, CA","HOVER
5.0","HOVER is transforming the home improvement market and helping people visualize what's possible with interactive 3D property models and we're looking for skilled Ruby on Rails developers to join our San Francisco team! We're working hard to enable homeowners, contractors, and insurance professionals all use HOVER to get fully measured, accurate, and interactive models of any property—in a matter of minutes, and with just a few snaps of a smartphone camera.

The Role

We are looking for a RoR Engineer who has good knowledge of the framework and hands-on experience developing web apps and backend services. We're a small but growing group of engineers, so beyond the prerequisite technical ability, we're looking for someone with exceptional initiative, curiosity, passion for learning, and a love for pushing the envelope while building high quality, scalable and extensible products.

Like all engineering roles at HOVER, this is a cross-functional role at its core which allows for multiple opportunities for mentorship, learning, and growth. You will join as a member of our backend engineering team and also work in coordination with other engineering teams (frontend, graphics, automation, mobile), and non-engineering teams (product, design) in an agile development environment.

What you will be doing

You will write clean, tested and documented code, and stay at the cutting edge of your discipline through communication, collaboration, and mentorship opportunities (including code reviews and occasional pair programming). Among other things, you will be building new features in our product, integrating image processing, 3D rendering and machine learning code, and optimizing it against one of the world's biggest datasets of residential property imagery.

What we expect from you
Current experience (1+ years) architecting and building reliable, scalable, maintainable Ruby on Rails applications
Experience with the usual suspects (rspec, git, PostgreSQL, Redis)
Comfortable on a bash shell and SQL console
Excellent problem-solving skills
Nice to have
Full stack experience (HTML/CSS, Javascript, JS Frameworks)
AWS ecosystem experience
Docker (or other container technology)
Agile/Scrum experience
Geometry/Linear Algebra
Why HOVER

Come join a small team that works hard, thinks big, and loves to celebrate our wins. We are backed by a team of investors who are committed to empowering our success, and we are excited to keep improving our product and growing our team. At HOVER, we believe there is real strength in diversity, and we're fostering an inclusive and diverse culture by hiring qualified, talented people from a wide variety of backgrounds.

Benefits
Compensation - Competitive salary and meaningful equity in fast-growing company
Healthcare - Comprehensive medical, dental, and vision coverage for you and dependents
Paid Time Off - Unlimited and flexible vacation policy
Learning - We encourage continued education and will help cover the cost of conferences, workshops, or certifications
Transportation - Pre-tax commuter benefits and free parking"
"Software Engineer, Backend - User Growth","San Francisco, CA","Tinder
4.2","The User Growth Team is a cross-discipline team whose mission is to drive Tinder's long-term user growth. By collaborating with product and a cross-platform engineering team, you'll take part in rapid experimentation fueled by user research and data-driven decisions. You'll have a unique opportunity to join a company with tens of millions of downloads and an expanding global footprint while working on a team that's small enough for you to feel the impact of your work every day.

By joining our team, you will:
Architect and engineer high-impact features that improve user acquisition, activation, and retention
Help us scale to meet the ever-growing Tinder user base and global audience
Gain exposure to terabytes of data including billions of swipes per day
Build tools & infrastructure to ensure 100% uptime of Tinder for all users across the world
What we're looking for:
Excellent knowledge and experience with a backend language like Java, Node.js, Scala, Go, etc.
3+ years of experience with large-scale distributed real-time systems and mobile backend systems
3+ years of API design experience
3+ years of experience with writing comprehensive unit and regression tests
Experience with NoSQL Databases like DynamoDB or Redis
A passion for creating great products and solving unique problems
Bonus points if you have:
Experience working on a Growth team
Experience with AWS
A BS or MS in Computer Science or Engineering from a top school, or a wonderful project list
Leadership experience
As part of our team, you'll enjoy:
The hustle of a startup with the impact of a global business
Tremendous opportunity to solve some of the industry's most exciting problems
Working with an extraordinary team of smart, creative, fun and highly motivated people
Comprehensive health coverage, competitive salary, 401(k) match, and meaningful equity
Unlimited vacation and flexible working hours
Daily catered lunches, an endless supply of snacks/refreshments, fitness classes, and social events
Modern and uplifting work environment"
