Title,Location,Company,Description
Senior Project Manager (IT),"Phoenix, AZ","One Step Retail Solutions
4.6","One Step Retail Solutions is looking for an experienced Sr. IT Project Manager to join our Implementation Services Team at our headquarters in Phoenix, Arizona.
JOB DESCRIPTION:
Create and achieve quarterly production goals and targets in accordance with the company goals and objectives, and manage the staff toward the fulfillment of those goals
Ensure Project Management principles are applied personally and by all team members
Personally act as the Project Manager on all new client implementations and complex or large implementations, and act as “senior project manager” for all Delivery
Ensure a smooth flow from sales to delivery and delivery to support so that all customers receive excellent service
Train and develop highly productive Delivery personnel
Assist in the management of implementation staff to achieve stated goals and responsibilities by ensuring they are maintaining certifications, being responsible for their calendars and their customers, and consistently improving their abilities
Perform spot checks and inspections of installations, and training sessions
Travel as needed to clients and to all OSRS Offices and remote Delivery staff as needed for training and productivity enhancement
Set the example and drive the team to excel in every facet of their job
Drive the production of the Delivery department
Organize and establish areas, plans and programs in alignment with company strategic plans
SKILLS, KNOWLEDGE & ABILITIES:
Network/IT Experience
Understanding of retail and retail software solutions
Understanding of IT, specifically networks and databases
Knowledge and experience with retail software applications
Proficient communication skills. Must have a command of English grammar to be able to write and communicate ideas and instructions concisely and clearly
5-10 years proven management experience
Retail Experience
Bachelor’s Degree
Proven successful experience as an assertive leader with an ability to motivate a team to follow him/her
Certifications, such as Microsoft, a plus
Implementation experience, a plus
PMP certification, a plus but not required
COMPENSATION:
$65,000 - $75,000 DOE + commission ($90K-$95K Total Comp)
Other Benefits
Health
Dental
Vision
401K
Aflac
Life Insurance
Personal & Accident Insurance
Adoption Assistance
Commuter Benefits
Training & Development
Monthly birthday and anniversary celebrations
Games and parties celebrating holidays
Paid Vacation Time
Paid Sick Leave
Opportunities for Advancement
EOE:
One Step Retail Solutions is an Equal Opportunity Employer (EOE)."
IT Clinical Informatics Analyst 1,"Miami, FL","Jackson Health System
3.6","Description


Location: Jackson Main Campus

Shift: Full-Time

Clinical Informatics Analyst 1 analyzes and identifies best practices regarding the use of clinical information systems to promote care. Collaborates with departments and teams in the evaluation, planning, design development, testing, training and implementation of the clinical software systems to ensure operational effectiveness and efficiencies. Works closely with the departments, vendors and co-workers to identify and solve problems and ensure the optimum operation of all related systems.
Qualifications
Experience: Generally requires 0 to 3 years of related experience.
Education: Bachelor's degree in Computer Science or related field, and/or coursework from an accredited college/university, professional nursing, medicine, physician assistant program, military or other training in information systems preferred.
Licensure Certification: Valid license or certification is required as needed, based on the job or specialty.
Knowledge Skill Abilities: Ability to analyze, organize and prioritize work accurately while meeting multiple deadlines. Ability to communicate effectively in both oral and written form. Ability to handle difficult and stressful situations with professional composure. Ability to understand and follow instructions. Ability to exercise sound and independent judgment Knowledge and skill in use of job appropriate technology and software applications."
IT Administrator I - Network,"Visalia, CA","Kaweah Delta Health Care District
3.9","Kaweah Delta Health Care District, a 500+ bed not-for-profit community based teaching facility, plays a significant role in the health and well-being of California's great Central Valley. We provide state-of-the-art services including acute care, rehabilitation, mental health, skilled nursing, home health, outpatient dialysis, and rural health clinics. At Kaweah Delta Health Care District, it is more than a career; it’s your life’s calling. Kaweah Delta is committed to a culture that delivers personal, professional and compassionate experiences, for every person, every time. The City of Visalia, with a population over 120,000, is centrally located between Los Angeles and San Francisco, only an hour's drive from national parks, and within easy reach of coastal beaches. Visalia offers the unique combination of affordable housing, a friendly community, easy commute to work, and economic opportunity. The cost of living may be small town, but the cultural amenities are big city! Our premier facility in Visalia, California offers an environment unlike any other.
POSITION SUMMARY/PURPOSE
Provides third level IT support to end users. Maintains all technical aspects of the information systems. Documents, mentors, and trains other IT staff to perform operational duties of information systems.
QUALIFICATIONS
License /Certification
Required:
VMWare VCP within 6 months of hire/transfer.
Preferred:
Microsoft MCSA: Server
Education
Required:
High School Diploma
Preferred:
Associate's degree
Experience
Required:
Two years systems administration experience; or
One year server administration experience with an Associate's degree in an Information Technology related field.
Preferred:
Experience with Backup Software.
Experience managing Microsoft Exchange.
Experience with SAN/NAS devices.
Experience with Microsoft SCCM.

Knowledge/Skills/Abilities
Ability to manage all Active Directory components including DHCP, DNS, GPOs.
Ability to create and manage documentation including technical specs.
Basic networking skills.
Ability to quickly find solution to unfamiliar problems (researching skills).
Excellent communication skills and must be a team player.
Ability to manage Citrix XenApp/XenDesktop preferred."
IT Support Technician,"West Bloomfield, MI","Singh Management
3.2","Company:
Singh
Position:
IT (Req #: 3659696)
Department:
Administration
Shift:
Salaried
Minimum education:
Bachelor's Degree
Openings:
1
EEO code:
3. Technicians
Apply now
Date posted:
December 4, 2019
Location:
7125 Orchard Lake Road, Suite 200, Singh Main Office
West Bloomfield, MI, 48322, US
End date:
March 31, 2020
Compensation:
Not disclosed
Job code:
Education
Job link:
Singh is looking to identify an IT Support Technician/Analyst for our team. We are targeting a quick learner with great attention to detail, prepared to help move us into the next stage of growth with our communities and developments. Please review the responsibilities below and apply today! We look forward to hearing from you!
Job Description (Responsibilities):
Configuring and deploying company computers and mobile devices.
Support end-users with their desktops, laptops and smartphones. This includes desk-side support services as well as support of remote users.
On-board new users to the company, manage all aspects of their setup: account creations and permissions, e-mail account and group membership, file share services and remote access.
Own the rollout of updates to operating systems and applications for security and functional improvements.
Key team member in desktop refresh projects.
Perform diagnostics and troubleshooting of system issues, documented help desk tickets/resolutions, and maintained equipment inventory lists.
Manage and troubleshoot VOIP Telephony systems/Infrastructure.
Creates and maintains documents regarding manuals, instructions, policies and procedures.
Special Projects as requested
Server Administrator:
Maintain file share services.
Managing users and distribution/security groups in active directory.
Group Policy Management.
Running server updates.
Monitoring and troubleshooting Microsoft Exchange.
Monitoring and troubleshooting Microsoft SharePoint.
Security Infrastructure (Firewalls, IDS/IPS, Antivirus, SPAM Filter).
Assist in configuring and installing of network devices such as switches, routers, and access points.
Minimum Skill Requirement:
Strong background in providing help desk services in a professional setting
CompTIA A+ and Network + or similar education
Solid knowledge of Windows 10, iOS and Android
Knowledge of Wifi network including access points and switches.
Other Skills:
Windows Server 2008 R2 – 2012 R2
Microsoft Exchange 2013
VMware/VSphere
VOIP Systems
Spiceworks help desk
VOIP PBX phone systems (Digium is a plus)
AT&T Office at Hand / Ring Central products
Knowledge of remote desktop server and configuration"
IT Systems Cloud Administrator,"Gainesville, FL","Tradepmr
3.8","TradePMR is looking for a detailed, self motivated, problem solving individual who will be responsible to maintain and build upon existing network and domain environments.
Responsibilities:
* Support, re-design/re-engineer existing on-prem network, servers, VoIP infrastructure
* Maintain and build upon existing network and domain environments;
* Design and implement new on-premises and cloud systems while implementing best practices and industry standards;
* Work closely with application development and infrastructure teams on day-to-day tasks along with project planning and implementation;
* administration of switches, routers, firewalls, and other network devices;
* Review, mentor and coach, while defining and promoting usage of standards, best practices and lessons learned;
* Maintain familiarity with emerging technologies;
*Work closely with team members and supervisors to develop & improve monitoring and alerting systems for all critical components of infrastructure;
* Identify and drive opportunities to improve operational workflows;
* Implementation of proactive monitoring, alerting, reporting and self-healing systems;
* Solve problems relating to mission critical services and build automation to prevent problem recrurrence;
* Create and maintain custom scripts using powershell, python, and bash;
* Create detailed documents and diagrams for all IT infrastructure.
Requirements:
* Bachelor's degree in Information Technology and a minimum of 3 years experience;
* Exposure to cloud services and solutions in platforms such as Azure or AWS;
* Experience working with AWS/Azure, AWS/Azure networking, and AWS/Azure site reliability solutions;
* Strong practical knowledge of Windows and Linux Server operating systems;
* Good understanding of IT security best practices and threat protection;
* Networking: Knowledge and understanding of network concepts and technology such as TCP/IP, UDP, MAC addresses, IP packets, DNS, ACLs, routing tables, VPN and load balancing.
Preferred skills:
* Microsoft/AWS/Azure Certification;
* Experience with Devops practices and tools such as Jenkins, CodeDeploy, Octopus Deply, and other tools;
* Experience with containers;
* Experience with Atlassian tools;
* Experience analyzing logs using tools, such as CloudWatch, SolarWinds or ELK (Logstash, Kibana);
* Experience with Orchestration tools such as Terraform or Cloudformation;
* Familiarity of management tools such as Chef, Puppet, Ansible or SaltStack."
Senior Level IT Engineer,"Palo Alto, CA","Langtech
3.9","ABOUT LANGTECH
Headquartered in the heart of San Francisco, our 25 years of systems experience and e-business expertise combined with an intense focus on customer service put us ahead of the crowd as a fully integrated solutions partner in managed services, cloud computing, virtualization, custom software, complex projects, and local, on-site support. Join the Langtech team and share your experience and creativity to help our clients leverage the latest in cloud and mobile technologies.
ABOUT THE ROLE
This position will primarily provide user support for the SF Bay Area Peninsula region as well as the surrounding areas as necessary, acting as the virtual CTO and primary consultant for your accounts.
WHAT YOU’LL DO
Provide user support to a wide variety of clients, both remotely and on-site
Build and maintain relationships with clients
Identify problem areas and work with our team to provide the best solution possible for the client
Communicate and fully explain resolutions to clients across all technical skill levels
Juggle multiple clients and projects
Stay informed with the latest changes in technology
Offer input and constructive criticism to fellow colleagues
Find creative and out-of-the-box solutions to problems with colleagues
Maintain proper network documentation for clients
REQUIRED QUALIFICATIONS:
Senior level troubleshooting skills both remote and in person
Strong knowledge of and troubleshooting experience for all Microsoft products
Networking (VPN configurations, firewall command line, NAT, VLANs)
Initiative taker
4+ years client facing experience
Desire for ongoing hardware/software training and certifications
Cloud services administration, including Office 365 and Azure
PREFERRED SKILLS:
Computer networking experience including MacOS
Migration of on-premise services to the cloud
Azure and Amazon Web Services deployment and advanced management experience
Senior-level experience with Cisco products"
IT Project Manager - Contract Management Implementation,"Chicago, IL",Onset Technologies,"Job Summary
Senior IT Project Manager that has 10+ years of experience and managing an implementation of Contract Management Solution. The PM will need to understand contract workflow and the nuances of contract creation, approval, risk, buying power, and eventual database management and retention.
Duration - 6 to 12 months
Also, PMP certification is required.
Required Skills:
BS Degree in Computer Information Systems, Management of Information Systems, or related field preferred.
PMP Certification is required
12+ relevant experiences in the Information Technology industry with at least 10+ in a Project Management function.
Must demonstrate experience of working as project manager/lead on applications/systems implementation and development projects
Demonstrates effective leadership ability within a matrix team environment and contributes significantly to team performance.
Must demonstrate a thorough understanding of Project Management techniques and standards.
Time Management Skills:
Skills in managing time and organizing own work;
Work well under pressure and adhere to strict timelines;
Ability to manage conflicting priorities.
Required Interpersonal Skills:
Good verbal and written communication skills;
Ability to connect and communicate effectively in a team environment;
Ability to resolve basic problems with minimal supervision;
Adaptability to a changing environment as per the demands of the work unit and staff;
Ability to work under instruction and take guidance.
Ability to understand business needs and apply the appropriate designs and technologies to meet the needs.
Ability to communicate with business users and all levels of management
Demonstrates exceptional negotiation, planning, interpersonal and communication skills.
Demonstrates effectiveness in project negotiations, multi-site interfaces, management of contracts and the development and implementation of project management strategies.
Leadership and Team Building experience with the ability to motivate a diverse group of people to successfully complete team objectives.
Demonstrated leadership skills to lead a team and achieve results.
Ability to work with ambiguous and incomplete information. Resourceful.
Experience working with geographically distributed teams.
Responsibilities:
Drives all application projects and oversees all aspects of the projects including planning, resource estimation (labor & Cost), execution, communication with the project business leads.
Manages and obtains approvals for all change requests, particularly regarding scope and timelines.
Manages project resources and lead the team/s to achieve on-time delivery and resolve escalations.
Prioritizes issues and determines impact of application issue on business environment.
The position leads a project team to complete projects within a set of deadlines using established Project Management Methodology & Governance to meet or exceed customer project requirements.
Will establish and maintain relationships with key decision-makers and provides them with program/project updates and recommendations
Reviews all deliverables throughout the project lifecycle to ensure completeness, consistency, quality and requirement traceability in compliance with current application development and enterprise architecture standards. Ensures integration between business process requirements, current application environment and vendor software.
Proactively identifies, analyzes and mitigates project and operational risks (resourcing, project/task dependencies and delivery risks)
Will be responsible for coordinating any development work through vendors and contract resources.
Producing statistics and status/dashboard reporting on progress of various test cycles
Job Type: Contract"
"IT Tax Consultant, Senior/Manager","Ridgewood, NJ",Fandl,"IT Tax Consultant, Senior/Manager (Ridgewood, NJ) – Fandl, LLC has an opening for a Senior/Manager level IT tax consultant to focus on technology solutions for both firm tax outsourcing engagements and clients.
Job Responsibilities: Senior/Manager level position requires applicants to work with clients and other team members in identifying and implementing technology solutions to create efficiencies in various state and local tax processes. Responsible for implementing new technologies, such as artificial intelligence solutions, to streamline tax compliance processes including data collection, data manipulation and reporting. Applicants will have daily interaction and correspondence with clients and other team members.
Qualifications: Requirements include a Bachelor’s Degree in Computer Science or Information Technology. 3 to7 years of experience preferred. In-depth knowledge of the Microsoft platform (IIS, .NET, Web Services, SQL Services, SQL Server, SharePoint Technologies, Office Web Application, Windows Server products and Active Directory). Proficiency in working in relational database systems. Skillful in debugging runtime issues. Ability to learn new technologies and present technology solutions to clients. Interested in and adept at learning and building software systems and tools. Ability to work independently, managing and prioritizing multiple tasks are a must. Strong analytical, presentation and communication skills will differentiate the ideal candidate.
Travel to/from Las Vegas, NV office required.
Interested candidates should submit their resume to careers@fandltax.com"
IT Security Engineer,"New York, NY","Allied Risk Management
3.1","ALARM INSTALLER (STATEWIDE) License Is MANDATORY, please only apply if you have this license, issued by the NYS Dept of State, Division of Licensing Services.

Title: Licensed Security Installation Technician – Team Lead
Job Description:
Company Details: Allied Risk Management, Inc is looking for an individual who wants a career, not just a job, with a well-established and growing company. It is an exciting time at Allied, as we are expanding our services to include an innovative technology ecosystem, SightPAS™. The right individual will play a critical role in building out and supporting this patent pending solution.
Our customers have high expectations when it comes to our service and support. We strive to exceed their expectations.
This is a brand new role in our organization with a significant opportunity for growth and responsibility.
Who is our ideal candidate?
Has a passion for making the very complex into simple and intuitive solutions for users and stakeholders alike
Can Do. Loves to find a solution…not possible isn’t part of your vocabulary.
Up early and excited to get the day started…wherever it might start or end.
Driven to make a difference.
Requirements:
Licensed Security/Fire Alarm Installer in the State of New York (must provide proof of license).
Minimum of 5 years experience in access control and security camera systems installation, maintenance or other related fields. Previous experience with access control, CCTV and burglary installations Install and repair system in a timely manner Troubleshoot system installations to ensure proper function and to ensure system meets local, county, state, or federal codes; legal and/or insurance requirements.
Perform Service and Installation of Access Control and CCTV systems. Evaluate, diagnose, troubleshoot and perform repairs as necessary on security systems.
Handle the installation of cabling and device setup and wiring. Dress, terminate and test cables and components.
Strong troubleshooting and critical thinking skills.
Ability to manage multiple projects at any given time. Willingness and ability to work flexibly and diligently as befits an important role within a fast growing division.
Tech savvy and experience with computer systems and programs. Perform computer program entry as required.
Ability to complete tasks according to schedule and communicate with all stakeholders accordingly.
Strong communication skills.
Familiarity with hand and power tools.
Ability to handle physical workload (i.e. able to lift at least 50 pounds).

Must pass a backgruond check
Must provide references"
IT Solutions Architect,"Spartanburg, SC","Denny's
3.1","Job Summary

We are seeking a highly qualified and motivated Solutions Architect to define and implement an all encompassing architectural vision to drive the technical direction of Dennys portfolio of Marketing Technologies. The successful candidate will partner with the leadership team to deliver Marketing solutions, strategies, and support the technical stack through engagement with external partners and internal experts. Candidates must be results driven, customer focused, a technical expert, and skilled at building internal and external relationships.

Essential Functions (Key Responsibilities)
Build strategic road map (3 year plan) on Marketing Technology domain to continuously rationalize the solutions landscape in collaboration with the business
Ensure alignment with Support functions and business processes for Marketing solutions (face of Support Functions)
Develop, in partnership with other IT leaders, the technology strategy for marketing systems that are centered on standard and sustainable solutions
Collect and prioritize business demands from Business Partners and Support functions
Maintain architecture referential (business process, application, data) regarding marketing solutions
Contribute to and validate project scoping, general design and business case. Ensure business case follow up (value realization.) Ensure handover to project teams.
Participates in change control board to ensure products moving into production meet requirements.
Analyze technology industry and business and determine their potential applicability.
Ensure all areas of governance compliance are maintained and documented
Project management responsibilities following a standard methodology.
Education and Experience Requirements
Engineering degree in information technology preferred, minimum of a Bachelors Degree in Computer Science or business discipline; other Advanced degree or relevant experience.
5+ years of leadership in Enterprise Systems functional design and support within IT, where experience was gained with large-scale technology implementations and / or large-scale change enabled by technology.
Required Knowledge and Skills
Experienced in the implementation and support of CRM, Ecommerce platforms, Marketing Automation, CMS, or other Marketing Operations tools
Proven track record in delivery of large, complex initiatives where technology is the driver / enabler.
Understanding of and experience in defining and managing a portfolio of products and / or services that enable new capabilities for an organization.
Strong skills documenting architectures and designs for complex systems. Along with a strong ability to translate business/functional/non-functional requirements into detailed architectures/designs.
Experience and knowledge of software / technologies along with best practices of leveraging technology to drive competitive advantage in operations or guest experience.
Proven ability to collaborate, negotiate, and influence stakeholders , focused on business process improvements, technology strategy; prioritization and phasing of key initiatives.
Denny's, Inc. is committed to providing equal employment opportunity for all persons regardless of age, race, creed, color, national origin, citizenship status, religion, sex, sexual orientation, gender identity, disability, genetic information, military or veteran's status, criminal background, or any other characteristic protected by Federal, State, or local law.

Applicants requiring reasonable accommodation for any part of the application process should contact 864-597-8000. PLEASE DO NOT CONTACT THIS NUMBER TO CHECK THE STATUS OF YOUR APPLICATION."
