"Title","Company","Location","Description"
"Software Engineer",,,"About TriplebyteTriplebyte helps companies find and hire great technical talent. For any company building software, this is crucial for success. A recent survey of top C-Level Executives, across multiple industries, showed that software, R&D and recruiting technical talent are the top areas they are planning increased investment and budget over the next 5 years. Companies like Apple, Dropbox and American Express trust Triplebyte’s online technical assessment to identify the best engineers for their open roles and reduce the time and effort it takes to hire them.We just raised a $35 million Series B and our team of 40 will double in size during 2019. Now is a great time to join as we're on an exciting growth trajectory. You will have lots of opportunity for taking on responsibility and developing new skills quickly.We have built Machine Learning models that predict the likelihood of an engineer getting an offer from a particular company. Interviewing and assessing engineering talent tends to be noisy, but our technical assessment has proven to be good enough to extract meaningful signals. We collect data on interview results and in-house evaluations, which gives us a unique dataset to play with. We've used that data to deliver a 40% conversion rate on our candidates at interview to offer, compared to the industry standard 20%.Our mission is to create a scientific method for identifying great talent and intelligently route it to the best place, streamlining and speeding up the recruitment process, while removing human biases that can hold back some candidates.We're an experienced team, the founders have each built and sold companies before. Ammon and Guillaume founded Socialcam (acquired by Autodesk for $60 million) and Harj was the first partner hired at Y Combinator since its founding.Building the best productWe are rapidly growing our engineering team, we are looking for generalist, full-stack, frontend, backend, machine learning, and dev-ops engineers! The Triplebyte engineering team is still rather small, only 8 people. We all went through the Triplebyte process : )We move fast, release new features daily and iterate quickly. Triplebyte is growing very quickly and the engineering team is fully dedicated to supporting that growth, in any way we can.We are a generalist engineering team, we work on anything that helps the company or other teams grow. We cycle through backend, full-stack and frontend work based on the most critical needs. All of us are encouraged to work on all those parts.Our frontend is mostly in React/Redux.Our backend is in Ruby on Rails, Postgres and Redis. (We also use python with Tensorflow for all our data science work)It doesn't seem like it, but we have built a LOT of software. We are a truly full-stack company and we are building a process that needs to be perfect ends to ends. We have software for engineers, for interviewers, for writers, for companies, for us, etc..If that's any indication of scale, we crossed recently the 200 tables in our Postgres database : )Join us and help us build the best product! We value initiative, productivity, and ownership.Compensation and BenefitsCompetitive salary and stock options packageOpen vacation policyEmployer paid health, vision and dental insurance401(k) plan with matchingPre-tax commuter benefitsDaily catered lunchesOur MissionWe believe strongly in building a truly meritocratic, unbiased process for finding great talent. Even the best technology companies today still use where people went to college as a proxy for intelligence and ability. We're building a process that looks only at ability, not credentials, so we can have a future where everyone can focus on just learning and being good at what they do, not how they look on paper.Every aspect of running a company has been improved over the last decade, except hiring. Most decisions are still made using amorphous terms like ""gut feel"" or ""culture fit"". They should be made using crisp data. Only a company specializing on this problem, using data collected from the hiring process at hundreds of companies, can solve it. That's the company we're building. Our mission is creating a scientific method for identifying great talent and intelligently routing it to the best place. Starting with software engineers.Job Type: Full-timeSalary: $125,000.00 to $190,000.00 /yearAdditional Compensation:Other formsWork Location:One locationFully RemoteBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleParental leaveRelocation assistanceProfessional development assistanceThis Job Is Ideal for Someone Who Is:Achievement-oriented -- enjoys taking on challenges, even if they might failInnovative -- prefers working in unconventional ways or on tasks that require creativityAdaptable/flexible -- enjoys doing work that requires frequent shifts in directionThis Company Describes Its Culture as:People-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeInnovative -- innovative and risk-takingThis Job Is:Open to applicants who do not have a high school diploma/GEDA job for which all ages, including older job seekers, are encouraged to applyOpen to applicants who do not have a college diplomaA job for which people with disabilities are encouraged to applyA good fit for applicants with gaps in their resume, or who have been out of the workforce for the past 6 months or moreA good job for someone just entering the workforce or returning to the workforce with limited experience and educationCompany's Facebook page:https://www.facebook.com/triplebyte/"
"Objective-C Developer",,,"Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.With one application you can be considered for thousands of tech roles from leading companies on Seen.How Seen WorksWe find out what's important to you and match you with your dream jobGet started – Complete a 5-minute application to be considered for roles at hundreds of leading companiesGet matched – Companies apply to you with opportunities that reflect your role, location and salary specificationsGet career coaching – Level up with free 1:1 coaching, our team will make sure you're ready to tackle any interviewGet your dream jobSkills and RequirementsWe look for top tech talent to join the Seen platform. Each candidate is reviewed on the following to make sure you're a good fit for our networkIn Demand SkillsFrom strong communication skills to experience with the latest technologies, you have what employers are looking forStand Out QualitiesYou bring unique qualities and traits that stand out and make an impactChange readyYou are ready for a career changes and will be responsive to employers who reach out with job opportunitiesGet matched with top tech companies on Seen!"
"Javascript Developer",,,"Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.With one application you can be considered for thousands of tech roles from leading companies on Seen.How Seen WorksWe find out what's important to you and match you with your dream jobGet started – Complete a 5-minute application to be considered for roles at hundreds of leading companiesGet matched – Companies apply to you with opportunities that reflect your role, location and salary specificationsGet career coaching – Level up with free 1:1 coaching, our team will make sure you're ready to tackle any interviewGet your dream jobSkills and RequirementsWe look for top tech talent to join the Seen platform. Each candidate is reviewed on the following to make sure you're a good fit for our networkIn Demand SkillsFrom strong communication skills to experience with the latest technologies, you have what employers are looking forStand Out QualitiesYou bring unique qualities and traits that stand out and make an impactChange readyYou are ready for a career changes and will be responsive to employers who reach out with job opportunitiesGet matched with top tech companies on Seen!"
"Software Developer",,,"Seen by Indeed is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.With one application you can be considered for thousands of tech roles from leading companies on Seen.How Seen WorksWe find out what's important to you and match you with your dream jobGet started – Complete a 5-minute application to be considered for roles at hundreds of leading companiesGet matched – Companies apply to you with opportunities that reflect your role, location and salary specificationsGet career coaching – Level up with free 1:1 coaching, our team will make sure you're ready to tackle any interviewGet your dream jobSkills and RequirementsWe look for top tech talent to join the Seen platform. Each candidate is reviewed on the following to make sure you're a good fit for our networkIn Demand SkillsFrom strong communication skills to experience with the latest technologies, you have what employers are looking forStand Out QualitiesYou bring unique qualities and traits that stand out and make an impactChange readyYou are ready for a career changes and will be responsive to employers who reach out with job opportunitiesGet matched with top tech companies on Seen!"
"Freelance Software Engineer","Vision Plastics Inc.","Delavan, WI 53115","We are looking for a passionate Software Engineer to design, develop and install software solutions. Software Engineer responsibilities include gathering user requirements, defining system functionality and writing code in various languages, like Java, Ruby on Rails or .NET programming languages (e.g. C++ or JScript.NET.). Our ideal candidates are familiar with the software development life cycle (SDLC) from preliminary system analysis to tests and deployment. Ultimately, the role of the Software Engineer is to build high-quality, innovative and fully performing software that complies with coding standards and technical design.ResponsibilitiesExecute full software development life cycle (SDLC)Develop flowcharts, layouts and documentation to identify requirements and solutionsWrite well-designed, testable codeProduce specifications and determine operational feasibilityIntegrate software components into a fully functional software systemDevelop software verification plans and quality assurance proceduresDocument and maintain software functionalityTroubleshoot, debug and upgrade existing systemsDeploy programs and evaluate user feedbackComply with project plans and industry standardsEnsure software is updated with latest featuresSkillsProven work experience as a Software Engineer or Software DeveloperExperience designing interactive applicationsAbility to develop software in Java, Ruby on Rails, C++ or other programming languagesExcellent knowledge of relational databases, SQL and ORM technologies (JPA2, Hibernate)Experience developing web applications using at least one popular web framework (JSF, Wicket, GWT, Spring MVC)Experience with test-driven developmentProficiency in software engineering toolsAbility to document requirements and specificationsBSc degree in Computer Science, Engineering or relevant fieldJob Type: Full-timeSalary: $120,000.00 to $140,000.00 /yearExperience:java: 5 years (Preferred)Education:Master's (Preferred)Work authorization:United States (Preferred)Additional Compensation:CommissionBenefits:Health insuranceDental insuranceRetirement plan"
"Software/Firmware Engineer",,,"Software/Firmware EngineerQualifications: - Embedded Linux development- Customer-facing GUI design with Qt, WinForms & WPF- Object-oriented programming in C++, C#- Comfortable with Windows & LinuxDesired Experience: 3+ years experience in Embedded C++2+ years experience creating customer facing user interfaces2+ years experience in C#, preferably working with Winforms or WPFOther “well-rounded” EE experience (firmware, hardware, systems, etc)Some ITAR operations - possibility for technology license for “non-US persons”Tools and Technology areas of practice- Network and serial communications between embedded and desktop environments- Debugging and interaction with embedded hardware- Source control tools (Git preferred)- Visual Studio for GUIs for internal and external customers- Open CV library- Python- Test-driven development- Experience with Tera Term or Putty (emulator)Company OverviewSierra-Olympic Technologies is located in Hood River, Oregon and offers advanced infrared imaging components and technologies for commercial, military, government, and OEM customers. We support products from the industry's leading manufacturers and technology developers, with a consistent dedication to quality and expert service in advanced focal plane array technologies. We specialize in providing system solutions for users of infrared camera systems. Our services and products include optics, infrared camera components, and digital storage and image processing systems.Benefit package includes: medical, dental, and vision with eligibility at 60 days of employment, and 401k eligibility after 6 months of employment with up to a 4% employer match.Job Type: Full-timeSalary: $70,000.00 to $100,000.00 /yearExperience:Embedded C++: 3 years (Required)Creating Customer Facing user interfaces: 2 years (Required)Location:Hood River, OR (Required)"
"Embedded Software Engineer","IntelliFarms","Kansas City, MO","IntelliFarms designs and manufactures embeddedIoT products and software that goes into agricultural applications from grainstorage and management - to weather data and automation in the fields. Ourcustomers range from Farmers to Processors you’d recognize on the back of a boxin the grocery store. We are well past our start-up phase and don’t rely onoutside capital. We’ve been on thecutting edge of AgTech for over 10 years - and need your help to stay that way.At our core, we’re Ag IoT: from sensordevelopment to monitoring and control systems, all sending data to our cloudplatform. You will learn our applicationand understand the science of what we do. You will then be responsible for all embedded software for theseproducts, from low-level drivers and hardware abstraction, to local database,algorithm, and protocol design. We workquickly, from concept to market in a short time. We range from bit-banging on 16-bitprocessors to multi-threaded RTOS design, to SQL database design, andbeyond. You should be comfortable andhave experience across all levels, primarily in C/C++.Salary range: $60K - $100K, DOEWhat we look for:Quick learner - You love to learn and are able to quickly pick up tools and put them to useExcellent at communicating your ideas and gathering requirementsDetail focused - while understanding the importance of getting a product shippedA relevant college education and/or equivalent experienceA focus on unit and system-level testingExpertise in C++, and experience with Python, SQL, and other languages.Expertise in Embedded development tool chains and debugging.At IntelliFarms you will:Solve unique problems that don't exist in other domainsBe part of a team that cares about who you are and your growth as a software engineerDesign, build, and maintain software that provides profit to farmers and food to your familyReceive great benefits (401k match, catered lunches, sushi dinners, beer fridge, dog friendly workplace, gym equipped with Pelotons, and more…)If you think we might be a match for you, please respond with your resume attached.Job Type: Full-timeSalary: $60,000.00 to $100,000.00 /yearWork Location:One location"
"Software Engineer - LabView Experience","Freedom Communication Technologies","Kilgore, TX 75662","Software Engineer with LabView Experience DUTIES AND RESPONSIBILITIES LabVIEW UI design and program development for communications test equipment products.Perform software requirements analysis, design, development, and test of software for product development.Research, design, document, implements and test computer software systems, in conjunction with product development requirements, applying principles and techniques of computer science, engineering, and mathematical analysis.Apply the appropriate standards, processes, procedures, and tools throughout the software. development life cycle to support the creation and innovation of technical engineering products.INTERFACES Contact with both local and remote teams including remote employees and contractors.Works under general supervision.Contact with project leaders, management, production, sales, and customers in a flat organization.EDUCATION and EXPERIENCE Bachelor’s degree in computer science, or computer science and engineering, or equivalent experience.5 years of LabVIEW development experience.Experience with LabVIEW versions from 8.2 through present.5 years of strong FPGA design skills.Knowledge of IP based network communication technologies.Familiarity with communications test equipment a plus.REQUIRED KNOWLEDGE, SKILLS AND ABILITIES Familiarity with engineering development tools and practices, including system engineering, hardware architecture and software development.Frequent use of technical standards, software engineering concepts, principles, and theories.Keeps abreast of technology trends.Working knowledge of tools and concepts used by the organization such as Integrated DevelopmentEnvironments (IDE), version control, and defect reporting and tracking tools.Able to understand and adhere to company policies and practices.Proficiency with standard business software tools, such as Microsoft Excel, Word and PowerPoint.Good written and verbal communication skills, ability to communication issues, impacts, and corrective actions.Ability to clearly recognize and report relevant information.Job Type: Full-timeExperience:FPGA design skills: 5 years (Required)LabView development: 5 years (Required)Benefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offTuition reimbursement"
"Software Design Engineer","Milwaukee Electronics","Milwaukee, WI 53209","Software Design Engineer Automation Controls Group (ACG) – a Division of Milwaukee Electronics Department:  Automation Controls Group (ACG)Reports To:  Product Architect of ACGSUMMARYThe Software Design Engineer will be responsible for the development, and testing software for our products. The candidate will work within a software/firmware center of excellence together with other team members driving new product and process development. Responsibilities will center on software development.ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned. Functioning as a team member in coding, testing, debugging and modifying embedded software to ensure conformance to design specifications Participating in the development of software requirements specifications, design documents, and software functional requirements Participating in software design and code reviews/inspections Provide time estimate for project schedules and resources requiredSUPERVISORY RESPONSIBILITIESThis job has no supervisory responsibilities.QUALIFICATIONS  General understanding and experience with C/C++ in an embedded environment General understanding of common microcontroller peripherals such as I2C, SPI, UART, etc. General understanding of software configuration management and build system knowledge Knowledge of Python, C#, and Jira is a plusEDUCATION and/or EXPERIENCE Bachelor's degree in Computer Science, Electrical Engineering, or related engineering discipline, or equivalent experience At least 2 years of software engineering experience Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States Strong work ethic and the ability to work well within a small team Excellent written and oral communication skills, along with the proven ability to interact with other disciplines outside of engineeringPHYSICAL DEMANDS While performing the duties of this position, employee is frequently required to sit; stand; walk; use hands to type, handle, or feel; and reach with hands and arms. Employee is occasionally required to stoop, kneel, or crouch. Employee must occasionally lift and/or move up to 20 pounds. Vision requirements include: close & distant vision, color vision, peripheral vision, depth perception, and the ability to adjust focus.The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.MILWAUKEE ELECTRONICS/ACG IS AN EQUAL OPPORTUNITY EMPLOYER Job Type: Full-timeSalary: $60,000.00 to $80,000.00 /yearExperience:relevant: 2 years (Required)Education:Bachelor's (Preferred)"
"Software Engineer","Heap","San Francisco, CA 94104","We're eager to meet all types of engineers, regardless of where you live or what tools you use day-to-day. Your creativity and intelligence are much more important to us than your experience with our stack.How we workHappy Customers > Perfect Code. We're out to solve real problems for real people, not to write slick code or play with the hippest frameworks. We spend a lot of time thinking through how to build new features, but the goal is always for the implementation to be maintainable, not for it to be ""pure.""Vision > GroupThink. A big idea starts in one person's head. We make sure he or she has the space to develop it into a fully-articulated thought before we iterate on it as a group. No brainstorming, no design-by-committee -- these produce watered-down initiatives and incremental ideas.Writing > Talking. Instead of sitting in meetings, we develop our ideas in writing, asynchronously. Written proposals encourage clearer thought and more thorough deliberation. Our plans are always documented and our culture is remote-friendly.What we're looking forWe’d particularly like to get to know you if:you communicate with clarity and precision. We care about this almost as much as your technical ability.you're passionate, even if it's not about analytics. There should be something you know more about than anyone on our team.you’ve written 10,000 lines of code that look embarrassing in retrospect. ... and you've written 10,000 lines of good code since then.you like fruit, sunshine, and bad jokes. We aren't robots.What we're buildingUnder the hood, Heap is powered by node.js, Scala, Spark, ZooKeeper, Kafka, and CitusDB. Our app-layer stack is TypeScript, React, mobx, Redis, and PostgreSQL.We're working on:Real-time infrastructure. We support an expressive set of queries that allow our users to slice and dice their data in arbitrary ways. The results need to come back with sub-second latencies. We also support materializing massive retroactive datasets into our customers' cloud data warehouses. We're working on a new distributed infrastructure to make this possible.Data capture. We want to provide our users with the richest possible dataset. That means building new integrations (like Android), capturing more semantic data (like A/B test groups), and pulling in data from other sources (like Stripe). All of this has to happen with virtually no performance cost or integration overhead.Data visualization. Building Heap is as much a design problem as anything else. The most powerful analytics infrastructure in the world doesn't matter if our users can't access that power and understand the results.Our HQ is in SF, and we have an office in New York, but a large part of our engineering team is remote. We cover relocation costs, and can sponsor visas. We'd love to hear from you, no matter where you are!Heap has raised $95M in funding from NEA, Y Combinator, Menlo Ventures, SVAngel, Sam Altman, Garry Tan, Alexis Ohanian, Harj Taggar, Ram Shriram, and others.People are what make Heap awesome. Regardless of age, education, ethnicity, gender, sexual orientation, or any personal characteristics, we want everyone to feel welcome. We are committed to building a diverse and inclusive equal opportunity workplace everyone can call home.Job Type: Full-timeAdditional Compensation:BonusesOther formsWork Location:One locationFully RemoteBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleParental leaveProfessional development assistanceTuition reimbursementRelocation assistanceSigning bonusVisa Sponsorship Potentially Available:Yes: H-1B work authorizationYes: Other non-immigrant work authorization (e.g. L-1, TN, E-3, O-1, etc.)This Job Is Ideal for Someone Who Is:Adaptable/flexible -- enjoys doing work that requires frequent shifts in directionAutonomous/Independent -- enjoys working with little directionAchievement-oriented -- enjoys taking on challenges, even if they might failThis Company Describes Its Culture as:People-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeOutcome-oriented -- results-focused with strong performance cultureThis Job Is:Open to applicants under 18 years old, provided it is legally allowed for the job and locationOpen to applicants who do not have a high school diploma/GEDA “Fair Chance” job (you or the employer follow Fair Chance hiring practices when performing background checks - learn more at https://start.indeed.com/fair-chance)A good fit for applicants with gaps in their resume, or who have been out of the workforce for the past 6 months or moreA job for which all ages, including older job seekers, are encouraged to applyOpen to applicants who do not have a college diplomaCompany's Facebook page:https://www.facebook.com/HeapAnalytics/"
